((protime, (protime, (11.25, 13.1>) -> (protime, (9.850000000000001, 9.95>)))
((protime, (protime, (11.25, 13.1>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (11.25, 13.1>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)) AND (protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (11.25, 13.1>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)) AND (protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (1.95, 2.25>) -> (bili, (8.95, inf))) AND (protime, (protime, (11.25, 13.1>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (1.35, 1.75>) -> (bili, (-inf, 1.35>)) AND (protime, (protime, (11.25, 13.1>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((bili, (bili, (1.75, 1.95>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (8.95, inf)) -> (bili, (8.95, inf))) AND (protime, (protime, (-inf, 9.850000000000001>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (age, (age, (45.4223135, 64.609172>) -> (age, (45.4223135, 64.609172>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (-inf, 9.850000000000001>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (-inf, 9.850000000000001>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (-inf, 9.850000000000001>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))))
((bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)) AND (protime, (protime, (-inf, 9.850000000000001>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (1.95, 2.25>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)) AND (protime, (protime, (-inf, 9.850000000000001>) -> (protime, (-inf, 9.850000000000001>)))
((protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (1.35, 1.75>) -> (bili, (8.95, inf))) AND (protime, (protime, (-inf, 9.850000000000001>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (8.95, inf))) AND (age, (age, (-inf, 33.8480495>) -> (age, (45.4223135, 64.609172>)))
((protime, (protime, (11.25, 13.1>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (-inf, 1.35>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (1.35, 1.75>) -> (bili, (8.95, inf))) AND (protime, (protime, (9.95, 11.25>) -> (protime, (11.25, 13.1>)))
((bili, (bili, (1.95, 2.25>) -> (bili, (-inf, 1.35>)) AND (protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)) AND (protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)))
((bili, (bili, (2.3, 8.95>) -> (bili, (-inf, 1.35>)) AND (protime, (protime, (9.95, 11.25>) -> (protime, (-inf, 9.850000000000001>)))
