attribute,value
SensorMeasure14,"(-inf, 8142.925>"
SensorMeasure14,"(8142.925, inf)"
SensorMeasure3,"(-inf, 1577.92>"
SensorMeasure3,"(1577.92, inf)"
SensorMeasure12,"(-inf, 518.935>"
SensorMeasure12,"(518.935, 522.48>"
SensorMeasure12,"(522.48, inf)"
SensorMeasure6,"(-inf, 21.605>"
SensorMeasure6,"(21.605, inf)"
SensorMeasure2,"(-inf, 642.575>"
SensorMeasure2,"(642.575, 642.78>"
SensorMeasure2,"(642.78, inf)"
OpSet2,"(-inf, -0.00045>"
OpSet2,"(-0.00045, inf)"
SensorMeasure11,"(-inf, 47.235>"
SensorMeasure11,"(47.235, 47.239999999999995>"
SensorMeasure11,"(47.239999999999995, inf)"
SensorMeasure20,"(-inf, 38.735>"
SensorMeasure20,"(38.735, 38.955>"
SensorMeasure20,"(38.955, 39.25>"
SensorMeasure20,"(39.25, inf)"
