attribute,value
SensorMeasure6,"(-inf, 5.715>"
SensorMeasure6,"(5.715, inf)"
SensorMeasure7,"(-inf, 138.05>"
SensorMeasure7,"(138.05, 138.485>"
SensorMeasure7,"(138.485, 175.10500000000002>"
SensorMeasure7,"(175.10500000000002, 175.16000000000003>"
SensorMeasure7,"(175.16000000000003, 334.93>"
SensorMeasure7,"(334.93, 335.1>"
SensorMeasure7,"(335.1, 335.4>"
SensorMeasure7,"(335.4, 394.53>"
SensorMeasure7,"(394.53, inf)"
SensorMeasure14,"(-inf, 8064.985000000001>"
SensorMeasure14,"(8064.985000000001, 8066.65>"
SensorMeasure14,"(8066.65, 8075.23>"
SensorMeasure14,"(8075.23, inf)"
OpSet1,"(-inf, 0.00265>"
OpSet1,"(0.00265, 10.0058>"
OpSet1,"(10.0058, 35.0059>"
OpSet1,"(35.0059, 35.007400000000004>"
OpSet1,"(35.007400000000004, 41.999449999999996>"
OpSet1,"(41.999449999999996, inf)"
OpSet2,"(-inf, 0.84075>"
OpSet2,"(0.84075, 0.8419>"
OpSet2,"(0.8419, inf)"
SensorMeasure12,"(-inf, 163.965>"
SensorMeasure12,"(163.965, 164.82>"
SensorMeasure12,"(164.82, 371.20500000000004>"
SensorMeasure12,"(371.20500000000004, 521.5899999999999>"
SensorMeasure12,"(521.5899999999999, inf)"
SensorMeasure4,"(-inf, 1042.1999999999998>"
SensorMeasure4,"(1042.1999999999998, 1123.655>"
SensorMeasure4,"(1123.655, 1127.985>"
SensorMeasure4,"(1127.985, 1251.85>"
SensorMeasure4,"(1251.85, inf)"
SensorMeasure20,"(-inf, 10.545>"
SensorMeasure20,"(10.545, 14.129999999999999>"
SensorMeasure20,"(14.129999999999999, 14.955>"
SensorMeasure20,"(14.955, 24.634999999999998>"
SensorMeasure20,"(24.634999999999998, 28.585>"
SensorMeasure20,"(28.585, inf)"
SensorMeasure9,"(-inf, 8003.76>"
SensorMeasure9,"(8003.76, 8764.33>"
SensorMeasure9,"(8764.33, inf)"
SensorMeasure15,"(-inf, 9.38875>"
SensorMeasure15,"(9.38875, 10.93285>"
SensorMeasure15,"(10.93285, inf)"
SensorMeasure8,"(-inf, 1915.44>"
SensorMeasure8,"(1915.44, 2212.0600000000004>"
SensorMeasure8,"(2212.0600000000004, 2318.925>"
SensorMeasure8,"(2318.925, 2387.995>"
SensorMeasure8,"(2387.995, inf)"
SensorMeasure2,"(-inf, 549.185>"
SensorMeasure2,"(549.185, 643.02>"
SensorMeasure2,"(643.02, inf)"
SensorMeasure3,"(-inf, 1352.01>"
SensorMeasure3,"(1352.01, 1481.63>"
SensorMeasure3,"(1481.63, inf)"
