attribute,value
SensorMeasure14,"(-inf, 8141.424999999999>"
SensorMeasure14,"(8141.424999999999, 8142.925>"
SensorMeasure14,"(8142.925, inf)"
OpSet1,"(-inf, 0.00335>"
OpSet1,"(0.00335, inf)"
SensorMeasure3,"(-inf, 1577.92>"
SensorMeasure3,"(1577.92, inf)"
SensorMeasure12,"(-inf, 518.745>"
SensorMeasure12,"(518.745, inf)"
SensorMeasure8,"(-inf, 2388.065>"
SensorMeasure8,"(2388.065, inf)"
SensorMeasure6,"(-inf, 21.605>"
SensorMeasure6,"(21.605, inf)"
SensorMeasure2,"(-inf, 642.575>"
SensorMeasure2,"(642.575, 642.8199999999999>"
SensorMeasure2,"(642.8199999999999, inf)"
OpSet2,"(-inf, -0.00045>"
OpSet2,"(-0.00045, inf)"
SensorMeasure11,"(-inf, 47.245000000000005>"
SensorMeasure11,"(47.245000000000005, inf)"
SensorMeasure20,"(-inf, 38.735>"
SensorMeasure20,"(38.735, 38.955>"
SensorMeasure20,"(38.955, 39.25>"
SensorMeasure20,"(39.25, inf)"
