((stdagepill, (stdagepill, (1.1818179999999998, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (1.1818179999999998, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.909091>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.909091>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-inf, -2.2727269999999997>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.7272729999999998, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (1.7272729999999998, 1.909091>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((agepill, (agepill, (43.5, 48.5>) -> (agepill, (-inf, 41.5>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.909091>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.7272729999999998, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (2.090909, inf)) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (1.909091, 2.090909>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.7272729999999998, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.909091>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (-1.363636, 0.090909>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((stdagepill, (stdagepill, (0.090909, 1.1818179999999998>) -> (stdagepill, (-2.2727269999999997, -1.909091>)))
((agepill, (agepill, (49.5, 56.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 56.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 56.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 56.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (56.5, 60.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 56.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 56.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 56.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (41.5, 42.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (56.5, 60.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 56.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (49.5, 56.5>) -> (agepill, (-inf, 41.5>)))
((agepill, (agepill, (61.5, 68.5>) -> (agepill, (-inf, 41.5>)))
