attribute,value
pnodes,"(-inf, 1.5>"
pnodes,"(1.5, 2.5>"
pnodes,"(2.5, 3.5>"
pnodes,"(3.5, 9.5>"
pnodes,"(9.5, 10.5>"
pnodes,"(10.5, 40.5>"
pnodes,"(40.5, 43.0>"
pnodes,"(43.0, inf)"
progrec,"(-inf, 2.5>"
progrec,"(2.5, 5.5>"
progrec,"(5.5, 21.0>"
progrec,"(21.0, 21.5>"
progrec,"(21.5, 23.5>"
progrec,"(23.5, 24.5>"
progrec,"(24.5, 25.0>"
progrec,"(25.0, 43.0>"
progrec,"(43.0, 55.5>"
progrec,"(55.5, 99.0>"
progrec,"(99.0, 103.5>"
progrec,"(103.5, 576.5>"
progrec,"(576.5, 886.0>"
progrec,"(886.0, inf)"
tsize,"(-inf, 7.5>"
tsize,"(7.5, 18.5>"
tsize,"(18.5, 20.5>"
tsize,"(20.5, 22.5>"
tsize,"(22.5, 23.0>"
tsize,"(23.0, 57.5>"
tsize,"(57.5, 59.0>"
tsize,"(59.0, inf)"
age,"(-inf, 32.5>"
age,"(32.5, 36.5>"
age,"(36.5, 39.5>"
age,"(39.5, 40.0>"
age,"(40.0, 41.0>"
age,"(41.0, 41.5>"
age,"(41.5, 42.5>"
age,"(42.5, 60.0>"
age,"(60.0, 64.5>"
age,"(64.5, 65.5>"
age,"(65.5, 72.5>"
age,"(72.5, 74.5>"
age,"(74.5, 75.0>"
age,"(75.0, 75.5>"
age,"(75.5, 77.0>"
age,"(77.0, inf)"
estrec,"(-inf, 0.5>"
estrec,"(0.5, 5.5>"
estrec,"(5.5, 52.0>"
estrec,"(52.0, 80.0>"
estrec,"(80.0, 287.0>"
estrec,"(287.0, 605.0>"
estrec,"(605.0, 926.0>"
estrec,"(926.0, inf)"
