rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 4, 4, 2, 2.9923, 41.0232, 0.0000, 0.0000, 341.0000, 364.0000, -23.0000
r2, 4, 4, 2, 5.8880, 44.4015, 0.0000, 0.0000, 347.0000, 364.0000, -17.0000
r3, 4, 3, 1, 7.6255, 43.1467, 0.0000, 0.0000, 347.0000, 364.0000, -17.0000
r4, 3, 3, 1, 9.9421, 44.4015, 0.0000, 0.0000, 347.0000, 364.0000, -17.0000
r5, 5, 5, 3, 7.9151, 44.4015, 0.0000, 0.0000, 348.0000, 364.0000, -16.0000
r6, 4, 4, 2, 12.9344, 44.4015, 0.0000, 0.0000, 349.0000, 364.0000, -15.0000
r7, 3, 3, 1, 20.2703, 44.4015, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r8, 4, 4, 2, 18.7259, 44.4015, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r9, 2, 2, 0, 24.7104, 44.4015, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r10, 4, 4, 2, 11.0039, 44.4015, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r11, 5, 5, 3, 12.3552, 44.4015, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r12, 5, 5, 3, 24.1313, 44.4015, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r13, 6, 5, 3, 19.4015, 41.7954, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r14, 4, 4, 2, 37.9344, 44.4015, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r15, 3, 3, 1, 44.8842, 7.8185, 0.0000, 0.0000, 364.0000, 347.0000, 17.0000
r16, 2, 2, 0, 44.4981, 44.4015, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r17, 4, 4, 2, 30.7915, 44.4015, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r18, 3, 3, 1, 47.8764, 7.8185, 0.0000, 0.0000, 364.0000, 347.0000, 17.0000
