time, entire-set, r1_l, r1_r, r2_l, r2_r, 
30.0, 0.988889, 1.000000, 1.000000, 0.968750, 1.000000, 
33.0, 0.977778, 1.000000, 1.000000, 0.937500, 1.000000, 
38.0, 0.966667, 1.000000, 0.970588, 0.937500, 1.000000, 
47.0, 0.955556, 1.000000, 0.970588, 0.906250, 1.000000, 
48.0, 0.944444, 1.000000, 0.941176, 0.875000, 1.000000, 
49.0, 0.933333, 0.966667, 0.941176, 0.843750, 1.000000, 
53.0, 0.911111, 0.966667, 0.882353, 0.781250, 1.000000, 
54.0, 0.900000, 0.966667, 0.882353, 0.750000, 1.000000, 
55.0, 0.888889, 0.966667, 0.882353, 0.750000, 1.000000, 
67.0, 0.866667, 0.966667, 0.852941, 0.718750, 0.972222, 
70.0, 0.844444, 0.966667, 0.852941, 0.718750, 0.916667, 
71.0, 0.833333, 0.966667, 0.852941, 0.687500, 0.916667, 
72.0, 0.811111, 0.933333, 0.852941, 0.656250, 0.888889, 
73.0, 0.800000, 0.933333, 0.852941, 0.656250, 0.861111, 
75.0, 0.777778, 0.933333, 0.823529, 0.625000, 0.861111, 
77.0, 0.766667, 0.933333, 0.823529, 0.593750, 0.861111, 
82.0, 0.755556, 0.933333, 0.823529, 0.562500, 0.861111, 
87.0, 0.744444, 0.933333, 0.794118, 0.562500, 0.861111, 
88.0, 0.733333, 0.933333, 0.794118, 0.531250, 0.861111, 
93.0, 0.722222, 0.933333, 0.764706, 0.531250, 0.833333, 
96.0, 0.711111, 0.900000, 0.764706, 0.531250, 0.805556, 
97.0, 0.700000, 0.900000, 0.764706, 0.500000, 0.805556, 
100.0, 0.688889, 0.900000, 0.735294, 0.468750, 0.805556, 
104.0, 0.677778, 0.900000, 0.705882, 0.437500, 0.805556, 
105.0, 0.666667, 0.900000, 0.676471, 0.406250, 0.805556, 
111.0, 0.655556, 0.900000, 0.647059, 0.406250, 0.777778, 
112.0, 0.633333, 0.900000, 0.588235, 0.375000, 0.777778, 
120.0, 0.600000, 0.866667, 0.529412, 0.375000, 0.750000, 
122.0, 0.588889, 0.866667, 0.500000, 0.375000, 0.750000, 
124.0, 0.577778, 0.866667, 0.470588, 0.343750, 0.750000, 
125.0, 0.566667, 0.866667, 0.441176, 0.312500, 0.750000, 
130.0, 0.555556, 0.833333, 0.441176, 0.312500, 0.750000, 
132.0, 0.511111, 0.766667, 0.411765, 0.281250, 0.666667, 
133.0, 0.500000, 0.733333, 0.411765, 0.281250, 0.638889, 
134.0, 0.488889, 0.733333, 0.382353, 0.281250, 0.638889, 
135.0, 0.477778, 0.733333, 0.352941, 0.250000, 0.638889, 
136.0, 0.466667, 0.700000, 0.352941, 0.250000, 0.611111, 
139.0, 0.455556, 0.700000, 0.323529, 0.250000, 0.611111, 
142.0, 0.444444, 0.700000, 0.323529, 0.250000, 0.611111, 
143.0, 0.433333, 0.700000, 0.294118, 0.250000, 0.611111, 
144.0, 0.422222, 0.666667, 0.294118, 0.250000, 0.583333, 
145.0, 0.400000, 0.633333, 0.294118, 0.218750, 0.555556, 
146.0, 0.377778, 0.600000, 0.264706, 0.218750, 0.500000, 
147.0, 0.366667, 0.600000, 0.235294, 0.218750, 0.472222, 
149.0, 0.355556, 0.600000, 0.205882, 0.218750, 0.472222, 
151.0, 0.333333, 0.566667, 0.176471, 0.187500, 0.444444, 
154.0, 0.322222, 0.566667, 0.176471, 0.156250, 0.444444, 
157.0, 0.311111, 0.566667, 0.147059, 0.125000, 0.444444, 
158.0, 0.300000, 0.533333, 0.147059, 0.125000, 0.416667, 
159.0, 0.277778, 0.500000, 0.117647, 0.093750, 0.388889, 
161.0, 0.255556, 0.433333, 0.117647, 0.062500, 0.361111, 
163.0, 0.244444, 0.433333, 0.088235, 0.062500, 0.361111, 
164.0, 0.233333, 0.400000, 0.088235, 0.062500, 0.333333, 
165.0, 0.222222, 0.400000, 0.088235, 0.031250, 0.333333, 
167.0, 0.211111, 0.400000, 0.058824, 0.031250, 0.333333, 
170.0, 0.200000, 0.400000, 0.029412, 0.031250, 0.333333, 
171.0, 0.188889, 0.400000, 0.029412, 0.000000, 0.333333, 

