id,p
0,0.000000
1,0.011369
2,0.000000
3,0.053502
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,1.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.053502
18,0.011369
19,0.000000
20,0.000000
21,0.000000
22,1.000000
23,0.000000
24,0.000059
25,0.000000
26,1.000000
27,0.000000
28,0.000000
29,1.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,1.000000
35,0.000000
36,0.000000
37,0.000000
38,0.011369
39,0.000059
40,0.011369
41,0.000000
42,1.000000
43,0.000000
44,0.011369
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.000000
