id,left,right
0,29,21
1,237,43
2,39,25
3,39,25
4,8,25
5,23,21
6,3,25
7,27,43
8,2,21
9,129,25
10,237,43
11,35,21
12,129,25
13,32,25
14,114,21
15,5,21
16,29,25
17,35,21
18,63,25
19,43,43
20,129,25
21,114,21
22,35,21
23,39,25
24,63,25
25,29,25
26,64,34
27,6,21
28,31,21
29,13,21
30,114,21
31,114,21
32,18,20
33,114,21
34,32,25
35,12,25
36,129,25
37,129,25
38,7,25
39,43,43
40,21,25
41,129,25
42,10,21
43,63,25
44,13,22
45,21,25
46,35,21
47,63,25
48,4,25
49,21,25
50,8,25
51,63,25
52,31,21
53,129,25
54,78,21
55,8,25
56,4,25
