time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, 
0.003, 0.964056, 0.936364, 0.977733, 0.915493, 0.977778, 0.926554, 0.977778, 0.937799, 0.977733, 0.954545, 1.000000, 0.939929, 0.977867, 0.949153, 0.947712, 0.979167, 0.979167, 0.989691, 0.920000, 0.975610, 0.936364, 
0.1, 0.962773, 0.936364, 0.977733, 0.915493, 0.977778, 0.926554, 0.977778, 0.933014, 0.977733, 0.954545, 1.000000, 0.936396, 0.977867, 0.949153, 0.947712, 0.979167, 0.979167, 0.989691, 0.920000, 0.975610, 0.936364, 
0.2, 0.958922, 0.927273, 0.975709, 0.908451, 0.975758, 0.920904, 0.975758, 0.928230, 0.975709, 0.931818, 1.000000, 0.929329, 0.975855, 0.940678, 0.947712, 0.979167, 0.979167, 0.989691, 0.906667, 0.972900, 0.927273, 
0.3, 0.956354, 0.927273, 0.973684, 0.901408, 0.973737, 0.915254, 0.973737, 0.923445, 0.973684, 0.931818, 1.000000, 0.925795, 0.973843, 0.936441, 0.947712, 0.979167, 0.979167, 0.989691, 0.906667, 0.970190, 0.927273, 
0.4, 0.949936, 0.890909, 0.971660, 0.873239, 0.971717, 0.892655, 0.971717, 0.904306, 0.971660, 0.931818, 0.992366, 0.911661, 0.971831, 0.919492, 0.947712, 0.979167, 0.979167, 0.989691, 0.853333, 0.967480, 0.890909, 
0.5, 0.938383, 0.872727, 0.965587, 0.852113, 0.965657, 0.870056, 0.965657, 0.885167, 0.965587, 0.909091, 0.984733, 0.893993, 0.963783, 0.894068, 0.947712, 0.979167, 0.979167, 0.989691, 0.853333, 0.959350, 0.872727, 
0.6, 0.929397, 0.854545, 0.959514, 0.838028, 0.959596, 0.858757, 0.959596, 0.875598, 0.959514, 0.886364, 0.977099, 0.879859, 0.957746, 0.877119, 0.947712, 0.979167, 0.979167, 0.989691, 0.826667, 0.951220, 0.854545, 
0.7, 0.917843, 0.818182, 0.953441, 0.809859, 0.953535, 0.836158, 0.953535, 0.856459, 0.953441, 0.863636, 0.977099, 0.858657, 0.951710, 0.851695, 0.941176, 0.958333, 0.979167, 0.979381, 0.813333, 0.945799, 0.818182, 
0.8, 0.903723, 0.818182, 0.937247, 0.809859, 0.937374, 0.824859, 0.937374, 0.842105, 0.937247, 0.863636, 0.977099, 0.848057, 0.935614, 0.838983, 0.941176, 0.916667, 0.958333, 0.948454, 0.813333, 0.934959, 0.818182, 
0.9, 0.894737, 0.818182, 0.931174, 0.802817, 0.931313, 0.813559, 0.931313, 0.832536, 0.931174, 0.818182, 0.969466, 0.833922, 0.929577, 0.826271, 0.934641, 0.916667, 0.916667, 0.948454, 0.813333, 0.926829, 0.818182, 
1.0, 0.879332, 0.772727, 0.921053, 0.767606, 0.919192, 0.785311, 0.919192, 0.808612, 0.921053, 0.795455, 0.969466, 0.812721, 0.919517, 0.805085, 0.928105, 0.916667, 0.916667, 0.948454, 0.746667, 0.915989, 0.772727, 
1.1, 0.863928, 0.736364, 0.912955, 0.732394, 0.911111, 0.751412, 0.911111, 0.779904, 0.912955, 0.750000, 0.961832, 0.784452, 0.911469, 0.775424, 0.908497, 0.916667, 0.916667, 0.948454, 0.733333, 0.905149, 0.736364, 
1.2, 0.856226, 0.727273, 0.904858, 0.725352, 0.903030, 0.745763, 0.903030, 0.770335, 0.904858, 0.750000, 0.946565, 0.777385, 0.903421, 0.766949, 0.901961, 0.916667, 0.916667, 0.948454, 0.720000, 0.897019, 0.727273, 
1.3, 0.851091, 0.718182, 0.900810, 0.718310, 0.898990, 0.740113, 0.898990, 0.760766, 0.900810, 0.750000, 0.946565, 0.770318, 0.899396, 0.754237, 0.901961, 0.895833, 0.916667, 0.938144, 0.720000, 0.897019, 0.718182, 
1.4, 0.842105, 0.718182, 0.888664, 0.718310, 0.886869, 0.740113, 0.886869, 0.760766, 0.888664, 0.727273, 0.931298, 0.766784, 0.887324, 0.750000, 0.901961, 0.895833, 0.895833, 0.938144, 0.720000, 0.880759, 0.718182, 
1.5, 0.831836, 0.681818, 0.882591, 0.690141, 0.880808, 0.711864, 0.880808, 0.736842, 0.882591, 0.727273, 0.923664, 0.749117, 0.881288, 0.733051, 0.901961, 0.895833, 0.895833, 0.938144, 0.666667, 0.872629, 0.681818, 
1.6, 0.826701, 0.681818, 0.876518, 0.690141, 0.874747, 0.711864, 0.874747, 0.732057, 0.876518, 0.727273, 0.916031, 0.745583, 0.875252, 0.728814, 0.901961, 0.895833, 0.895833, 0.938144, 0.666667, 0.864499, 0.681818, 
1.7, 0.815148, 0.663636, 0.868421, 0.669014, 0.866667, 0.689266, 0.866667, 0.712919, 0.868421, 0.704545, 0.908397, 0.727915, 0.867203, 0.707627, 0.895425, 0.895833, 0.875000, 0.938144, 0.640000, 0.853659, 0.663636, 
1.8, 0.812580, 0.654545, 0.866397, 0.661972, 0.864646, 0.683616, 0.864646, 0.708134, 0.866397, 0.704545, 0.908397, 0.724382, 0.865191, 0.703390, 0.895425, 0.875000, 0.875000, 0.927835, 0.626667, 0.853659, 0.654545, 
1.9, 0.806152, 0.636364, 0.862339, 0.647887, 0.860597, 0.666667, 0.860597, 0.693780, 0.862339, 0.704545, 0.908397, 0.713781, 0.861158, 0.690678, 0.895425, 0.854167, 0.875000, 0.917526, 0.613333, 0.850940, 0.636364, 
2.0, 0.799723, 0.636364, 0.856252, 0.647887, 0.854522, 0.661017, 0.854522, 0.688995, 0.856252, 0.681818, 0.900763, 0.706714, 0.855107, 0.682203, 0.895425, 0.854167, 0.854167, 0.917526, 0.613333, 0.842784, 0.636364, 
2.1, 0.790723, 0.618182, 0.848135, 0.633803, 0.846422, 0.649718, 0.846422, 0.679426, 0.848135, 0.659091, 0.893130, 0.696113, 0.847040, 0.673729, 0.882257, 0.854167, 0.854167, 0.917526, 0.600000, 0.831909, 0.618182, 
2.2, 0.788151, 0.618182, 0.846106, 0.633803, 0.844397, 0.649718, 0.844397, 0.679426, 0.846106, 0.636364, 0.893130, 0.692580, 0.845024, 0.669492, 0.882257, 0.854167, 0.854167, 0.917526, 0.600000, 0.829191, 0.618182, 
2.3, 0.783008, 0.618182, 0.840019, 0.633803, 0.838322, 0.649718, 0.838322, 0.679426, 0.840019, 0.636364, 0.885496, 0.689046, 0.838973, 0.665254, 0.875673, 0.854167, 0.854167, 0.907216, 0.600000, 0.826472, 0.618182, 
2.4, 0.779151, 0.609091, 0.835961, 0.626761, 0.834272, 0.644068, 0.834272, 0.674641, 0.835961, 0.636364, 0.877863, 0.685512, 0.834940, 0.661017, 0.875673, 0.854167, 0.854167, 0.907216, 0.600000, 0.821035, 0.609091, 
2.5, 0.771437, 0.600000, 0.827845, 0.619718, 0.826173, 0.638418, 0.826173, 0.669856, 0.827845, 0.613636, 0.862595, 0.678445, 0.826873, 0.656780, 0.875673, 0.854167, 0.833333, 0.907216, 0.600000, 0.810160, 0.600000, 
2.6, 0.767580, 0.600000, 0.821758, 0.619718, 0.820098, 0.638418, 0.820098, 0.669856, 0.821758, 0.613636, 0.862595, 0.678445, 0.820822, 0.656780, 0.869089, 0.854167, 0.812500, 0.896907, 0.600000, 0.804723, 0.600000, 
2.7, 0.757294, 0.581818, 0.813642, 0.605634, 0.811998, 0.627119, 0.811998, 0.655502, 0.813642, 0.613636, 0.854962, 0.664311, 0.812755, 0.639831, 0.869089, 0.854167, 0.812500, 0.896907, 0.573333, 0.793848, 0.581818, 
2.8, 0.756008, 0.581818, 0.811613, 0.605634, 0.809973, 0.627119, 0.809973, 0.655502, 0.811613, 0.613636, 0.847328, 0.664311, 0.810739, 0.639831, 0.869089, 0.854167, 0.812500, 0.896907, 0.573333, 0.793848, 0.581818, 
2.9, 0.749580, 0.563636, 0.807555, 0.591549, 0.805923, 0.615819, 0.805923, 0.645933, 0.807555, 0.590909, 0.847328, 0.653710, 0.806705, 0.627119, 0.855921, 0.854167, 0.812500, 0.896907, 0.560000, 0.788411, 0.563636, 
3.0, 0.743151, 0.545455, 0.801468, 0.577465, 0.799849, 0.604520, 0.799849, 0.636364, 0.801468, 0.590909, 0.839695, 0.646643, 0.800655, 0.618644, 0.855921, 0.854167, 0.812500, 0.886598, 0.533333, 0.782973, 0.545455, 
3.1, 0.740579, 0.536364, 0.799439, 0.570423, 0.797824, 0.598870, 0.797824, 0.631579, 0.799439, 0.590909, 0.839695, 0.643110, 0.798638, 0.614407, 0.855921, 0.854167, 0.812500, 0.886598, 0.520000, 0.780255, 0.536364, 
3.2, 0.736722, 0.527273, 0.799439, 0.563380, 0.797824, 0.593220, 0.797824, 0.622010, 0.799439, 0.590909, 0.839695, 0.632509, 0.798638, 0.605932, 0.855921, 0.854167, 0.812500, 0.886598, 0.520000, 0.780255, 0.527273, 
3.3, 0.730294, 0.527273, 0.793352, 0.563380, 0.791749, 0.593220, 0.791749, 0.622010, 0.793352, 0.545455, 0.832061, 0.625442, 0.792588, 0.597458, 0.855921, 0.854167, 0.812500, 0.886598, 0.520000, 0.772099, 0.527273, 
3.4, 0.727722, 0.527273, 0.791323, 0.563380, 0.789724, 0.587571, 0.789724, 0.617225, 0.791323, 0.545455, 0.832061, 0.621908, 0.790571, 0.593220, 0.855921, 0.854167, 0.812500, 0.876289, 0.520000, 0.772099, 0.527273, 
3.5, 0.722579, 0.518182, 0.785235, 0.556338, 0.783649, 0.581921, 0.783649, 0.612440, 0.785235, 0.545455, 0.816794, 0.618375, 0.784521, 0.588983, 0.855921, 0.854167, 0.812500, 0.876289, 0.520000, 0.763943, 0.518182, 
3.6, 0.720003, 0.518182, 0.781167, 0.556338, 0.779589, 0.581921, 0.779589, 0.612440, 0.781167, 0.545455, 0.809160, 0.618375, 0.780477, 0.588983, 0.849337, 0.833333, 0.812500, 0.865857, 0.520000, 0.761224, 0.518182, 
3.7, 0.714851, 0.500000, 0.779133, 0.542254, 0.777559, 0.570621, 0.777559, 0.598086, 0.779133, 0.545455, 0.801527, 0.607774, 0.778455, 0.580508, 0.849337, 0.833333, 0.812500, 0.865857, 0.493333, 0.758506, 0.500000, 
3.8, 0.712275, 0.500000, 0.775064, 0.542254, 0.773498, 0.570621, 0.773498, 0.598086, 0.775064, 0.545455, 0.801527, 0.607774, 0.774411, 0.580508, 0.836169, 0.833333, 0.812500, 0.855425, 0.493333, 0.758506, 0.500000, 
3.9, 0.712275, 0.500000, 0.775064, 0.542254, 0.773498, 0.570621, 0.773498, 0.598086, 0.775064, 0.545455, 0.801527, 0.607774, 0.774411, 0.580508, 0.836169, 0.833333, 0.812500, 0.855425, 0.493333, 0.758506, 0.500000, 
4.0, 0.707114, 0.490909, 0.768945, 0.535211, 0.767392, 0.564972, 0.767392, 0.593301, 0.768945, 0.545455, 0.786113, 0.604240, 0.768329, 0.580508, 0.836169, 0.812500, 0.812500, 0.844993, 0.493333, 0.753049, 0.490909, 
4.1, 0.701952, 0.472727, 0.764866, 0.521127, 0.763321, 0.553672, 0.763321, 0.583732, 0.764866, 0.545455, 0.778406, 0.597173, 0.764275, 0.572034, 0.829585, 0.812500, 0.812500, 0.844993, 0.480000, 0.747592, 0.472727, 
4.2, 0.701952, 0.472727, 0.764866, 0.521127, 0.763321, 0.553672, 0.763321, 0.583732, 0.764866, 0.545455, 0.778406, 0.597173, 0.764275, 0.572034, 0.829585, 0.812500, 0.812500, 0.844993, 0.480000, 0.747592, 0.472727, 
4.3, 0.698074, 0.463636, 0.762821, 0.507042, 0.761280, 0.542373, 0.761280, 0.574163, 0.762821, 0.545455, 0.778406, 0.590106, 0.762242, 0.563559, 0.822948, 0.791667, 0.812500, 0.834561, 0.466667, 0.747592, 0.463636, 
4.4, 0.696781, 0.463636, 0.760776, 0.507042, 0.759239, 0.542373, 0.759239, 0.574163, 0.760776, 0.545455, 0.778406, 0.590106, 0.760209, 0.559322, 0.822948, 0.770833, 0.812500, 0.824129, 0.466667, 0.747592, 0.463636, 
4.5, 0.695489, 0.463636, 0.760776, 0.507042, 0.759239, 0.542373, 0.759239, 0.574163, 0.760776, 0.545455, 0.778406, 0.586572, 0.760209, 0.559322, 0.822948, 0.770833, 0.812500, 0.824129, 0.466667, 0.747592, 0.463636, 
4.7, 0.692903, 0.454545, 0.758731, 0.500000, 0.757198, 0.536723, 0.757198, 0.569378, 0.758731, 0.545455, 0.778406, 0.583039, 0.758177, 0.555085, 0.816311, 0.750000, 0.812500, 0.813697, 0.453333, 0.747592, 0.454545, 
4.8, 0.691610, 0.445455, 0.758731, 0.492958, 0.757198, 0.531073, 0.757198, 0.564593, 0.758731, 0.545455, 0.778406, 0.579505, 0.758177, 0.555085, 0.816311, 0.750000, 0.812500, 0.813697, 0.440000, 0.747592, 0.445455, 
4.9, 0.690318, 0.445455, 0.756685, 0.492958, 0.755157, 0.531073, 0.755157, 0.564593, 0.756685, 0.545455, 0.778406, 0.579505, 0.756144, 0.555085, 0.816311, 0.750000, 0.791667, 0.813697, 0.440000, 0.744853, 0.445455, 
5.0, 0.689025, 0.445455, 0.754640, 0.492958, 0.753116, 0.531073, 0.753116, 0.564593, 0.754640, 0.545455, 0.778406, 0.579505, 0.754111, 0.555085, 0.809675, 0.729167, 0.791667, 0.803265, 0.440000, 0.744853, 0.445455, 
5.1, 0.685147, 0.445455, 0.748505, 0.492958, 0.746993, 0.531073, 0.746993, 0.564593, 0.748505, 0.545455, 0.778406, 0.579505, 0.748013, 0.555085, 0.809675, 0.729167, 0.770833, 0.803265, 0.440000, 0.736638, 0.445455, 
5.3, 0.679976, 0.427273, 0.746460, 0.478873, 0.744952, 0.519774, 0.744952, 0.550239, 0.746460, 0.545455, 0.778406, 0.568905, 0.745981, 0.546610, 0.803038, 0.729167, 0.770833, 0.803265, 0.413333, 0.733900, 0.427273, 
5.4, 0.674805, 0.409091, 0.744415, 0.464789, 0.742911, 0.508475, 0.742911, 0.535885, 0.744415, 0.545455, 0.778406, 0.558304, 0.743948, 0.533898, 0.803038, 0.729167, 0.750000, 0.803265, 0.386667, 0.731161, 0.409091, 
5.5, 0.673512, 0.409091, 0.744415, 0.464789, 0.742911, 0.508475, 0.742911, 0.535885, 0.744415, 0.545455, 0.778406, 0.554770, 0.743948, 0.533898, 0.803038, 0.729167, 0.750000, 0.803265, 0.386667, 0.731161, 0.409091, 
5.6, 0.670927, 0.409091, 0.742370, 0.457746, 0.740870, 0.502825, 0.740870, 0.531100, 0.742370, 0.545455, 0.770622, 0.551237, 0.741915, 0.529661, 0.803038, 0.729167, 0.750000, 0.803265, 0.386667, 0.728423, 0.409091, 
5.7, 0.668341, 0.400000, 0.740325, 0.450704, 0.738829, 0.497175, 0.738829, 0.526316, 0.740325, 0.545455, 0.770622, 0.547703, 0.739883, 0.525424, 0.803038, 0.708333, 0.750000, 0.792833, 0.373333, 0.728423, 0.400000, 
5.9, 0.668341, 0.400000, 0.740325, 0.450704, 0.738829, 0.497175, 0.738829, 0.526316, 0.740325, 0.545455, 0.770622, 0.547703, 0.739883, 0.525424, 0.803038, 0.708333, 0.750000, 0.792833, 0.373333, 0.728423, 0.400000, 
6.0, 0.661853, 0.381818, 0.736212, 0.436620, 0.734724, 0.485876, 0.734724, 0.511962, 0.736212, 0.545455, 0.770622, 0.537102, 0.735795, 0.512712, 0.796401, 0.708333, 0.750000, 0.792833, 0.346667, 0.722904, 0.381818, 
