attribute,value
SHO,"(-inf, 0.5>"
SHO,"(0.5, inf)"
CPK,"(-inf, 33.0>"
CPK,"(33.0, 34.0>"
CPK,"(34.0, 38.0>"
CPK,"(38.0, 42.0>"
CPK,"(42.0, 100.0>"
CPK,"(100.0, 193.0>"
CPK,"(193.0, 265.0>"
CPK,"(265.0, 3017.5>"
CPK,"(3017.5, 3849.0>"
CPK,"(3849.0, 4770.5>"
CPK,"(4770.5, 7700.0>"
CPK,"(7700.0, inf)"
AGE,"(-inf, 30.5>"
AGE,"(30.5, 31.5>"
AGE,"(31.5, 48.0>"
AGE,"(48.0, 57.0>"
AGE,"(57.0, 63.5>"
AGE,"(63.5, 66.5>"
AGE,"(66.5, 67.5>"
AGE,"(67.5, 69.5>"
AGE,"(69.5, 74.5>"
AGE,"(74.5, 75.5>"
AGE,"(75.5, 78.5>"
AGE,"(78.5, 87.5>"
AGE,"(87.5, 90.5>"
AGE,"(90.5, 92.5>"
AGE,"(92.5, inf)"
CHF,"(-inf, 0.5>"
CHF,"(0.5, inf)"
