id,distance,n_actions
0,0.031963,2
1,0.024564,2
2,0.012814,2
3,0.030550,2
4,0.014416,2
5,0.042420,2
6,0.025405,2
7,0.029606,2
8,0.008705,2
9,0.005147,2
10,0.011002,2
11,0.013326,2
12,0.041711,2
13,0.049910,2
14,0.052575,2
15,0.029855,2
16,0.028470,2
17,0.006939,2
18,0.002836,1
19,0.024184,2
20,0.012781,2
21,0.046004,2
22,0.010635,1
23,0.033177,2
24,0.016674,2
25,0.038693,2
26,0.048111,2
27,0.020816,2
28,0.017560,2
29,0.030315,2
30,0.039216,2
31,0.032448,2
32,0.043142,2
33,0.045998,2
34,0.097142,3
35,0.020823,2
36,0.041770,2
37,0.039932,2
38,0.023764,2
39,0.019175,2
40,0.024282,1
41,0.024361,2
42,0.021834,2
43,0.017928,2
44,0.042190,2
45,0.028589,2
46,0.067221,2
47,0.021860,2
48,0.061234,2
49,0.018138,2
50,0.040267,2
51,0.058720,2
52,0.064713,2
53,0.044206,2
54,0.006932,2
55,0.098868,2
56,0.086429,2
57,0.024368,2
