attribute,value
BECK,"(-inf, 9.5>"
BECK,"(9.5, 11.5>"
BECK,"(11.5, 12.0>"
BECK,"(12.0, 12.079>"
BECK,"(12.079, 23.5>"
BECK,"(23.5, 36.375>"
BECK,"(36.375, 36.5>"
BECK,"(36.5, 36.9>"
BECK,"(36.9, 37.4>"
BECK,"(37.4, 37.9>"
BECK,"(37.9, 42.5>"
BECK,"(42.5, 44.0>"
BECK,"(44.0, 48.5>"
BECK,"(48.5, inf)"
RACE,"(-inf, 0.5>"
RACE,"(0.5, inf)"
IV,"(-inf, 1.5>"
IV,"(1.5, inf)"
FRAC,"(-inf, 0.1277775>"
FRAC,"(0.1277775, 0.2916665>"
FRAC,"(0.2916665, 0.566667>"
FRAC,"(0.566667, 0.736111>"
FRAC,"(0.736111, 0.7416665>"
FRAC,"(0.7416665, 0.7694445>"
FRAC,"(0.7694445, 0.836111>"
FRAC,"(0.836111, inf)"
AGE,"(-inf, 22.5>"
AGE,"(22.5, 43.0>"
AGE,"(43.0, 44.5>"
AGE,"(44.5, 45.5>"
AGE,"(45.5, 50.5>"
AGE,"(50.5, inf)"
ND2,"(-inf, 0.361679>"
ND2,"(0.361679, inf)"
