((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.5454545, -1.0>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (1.363636, inf)) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-3.181818, -1.909091>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.5454545, -1.0>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (1.363636, inf)) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (1.363636, inf)) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.909091, -1.5454545>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.5454545, -1.0>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.909091, -1.5454545>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-3.181818, -1.909091>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-3.181818, -1.909091>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.5454545, -1.0>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (1.363636, inf)) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
