id,distance,n_actions
0,0.007273,1
1,0.003117,1
2,0.009870,1
3,0.010390,1
4,0.007792,1
5,0.001558,1
6,0.008312,1
7,0.003636,1
8,0.007792,1
9,0.007273,1
10,0.006234,1
11,0.005714,1
12,0.002597,1
13,0.006753,1
14,0.010390,1
15,0.008312,1
16,0.009870,1
17,0.010909,1
18,0.001558,1
19,0.004156,1
20,0.003117,1
21,0.001558,1
22,0.004156,1
23,0.005714,1
24,0.007792,1
25,0.006753,1
26,0.001558,1
27,0.005714,1
28,0.007273,1
29,0.007792,1
30,0.007273,1
31,0.007273,1
32,0.007792,1
33,0.000519,1
34,0.007792,1
35,0.003636,1
36,0.004156,1
37,0.006234,1
38,0.003117,1
39,0.008312,1
40,0.009351,1
41,0.005195,1
42,0.010390,1
43,0.007792,1
