((SensorMeasure3, (SensorMeasure3, (1347.63, 1364.1100000000001>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (0.84135, inf)) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (1347.63, 1364.1100000000001>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (-inf, 1347.63>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (1477.9899999999998, 1496.675>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (-inf, 1347.63>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (1477.9899999999998, 1496.675>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (1477.9899999999998, 1496.675>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (1347.63, 1364.1100000000001>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (1496.675, 1597.1799999999998>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (-inf, 5e-05>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (-inf, 1347.63>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (1347.63, 1364.1100000000001>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (-inf, 1347.63>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (-inf, 1347.63>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (1477.9899999999998, 1496.675>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
((SensorMeasure3, (SensorMeasure3, (1347.63, 1364.1100000000001>) -> (SensorMeasure3, (1496.675, 1597.1799999999998>)) AND (OpSet2, (OpSet2, (5e-05, 0.84135>) -> (OpSet2, (-inf, 5e-05>)))
