((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (102.176174470408, 103.50791781370751>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (101.4155583373995, 102.16782511750151>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (118.051019180629, 121.17737006678999>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (67.28323395306334, 85.7392499001082>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (123.835107454018, 130.55111994329252>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (112.706363973005, 117.95997533120399>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (118.051019180629, 121.17737006678999>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (112.706363973005, 117.95997533120399>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (118.051019180629, 121.17737006678999>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (106.5498412103765, 109.533254868705>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (103.50791781370751, 106.5498412103765>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (106.5498412103765, 109.533254868705>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (57.692995410704796, 67.28323395306334>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (96.80108023895325, 100.04103019983255>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (109.533254868705, 112.706363973005>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (109.533254868705, 112.706363973005>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((moistureInd, (moistureInd, (89.53012727291164, 93.5324139906568>) -> (moistureInd, (94.21032854308291, 94.83530241811701>)))
((temperatureInd, (temperatureInd, (52.9807920598129, 55.768785206515105>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (55.768785206515105, 57.692995410704796>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (95.36040862839084, 96.80108023895325>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (109.533254868705, 112.706363973005>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((moistureInd, (moistureInd, (89.53012727291164, 93.5324139906568>) -> (moistureInd, (94.21032854308291, 94.83530241811701>)))
((moistureInd, (moistureInd, (-inf, 80.58383006824755>) -> (moistureInd, (94.21032854308291, 94.83530241811701>)))
((temperatureInd, (temperatureInd, (67.28323395306334, 85.7392499001082>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (123.835107454018, 130.55111994329252>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (102.176174470408, 103.50791781370751>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (67.28323395306334, 85.7392499001082>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (109.533254868705, 112.706363973005>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (123.835107454018, 130.55111994329252>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (106.5498412103765, 109.533254868705>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (100.34494286999549, 101.1770525359545>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (67.28323395306334, 85.7392499001082>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (103.50791781370751, 106.5498412103765>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (121.723034245923, 123.835107454018>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (67.28323395306334, 85.7392499001082>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (57.692995410704796, 67.28323395306334>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (102.176174470408, 103.50791781370751>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (112.706363973005, 117.95997533120399>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (109.533254868705, 112.706363973005>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (67.28323395306334, 85.7392499001082>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (67.28323395306334, 85.7392499001082>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (123.835107454018, 130.55111994329252>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (57.692995410704796, 67.28323395306334>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (103.50791781370751, 106.5498412103765>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (121.723034245923, 123.835107454018>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (118.051019180629, 121.17737006678999>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (67.28323395306334, 85.7392499001082>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (133.103730756596, 134.47372677852752>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (121.723034245923, 123.835107454018>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (67.28323395306334, 85.7392499001082>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (112.706363973005, 117.95997533120399>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (85.7392499001082, 95.00903730967156>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (112.706363973005, 117.95997533120399>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
((temperatureInd, (temperatureInd, (103.50791781370751, 106.5498412103765>) -> (temperatureInd, (121.723034245923, 123.835107454018>)))
