id,left,right
0,24,50
1,101,45
2,50,109
3,57,50
4,101,45
5,137,50
6,50,109
7,23,50
8,101,45
9,50,109
10,101,45
11,50,109
12,101,45
13,137,50
14,137,50
15,137,20
16,31,50
17,50,109
18,137,20
19,137,20
20,137,50
21,137,50
22,101,45
23,50,109
24,101,45
25,25,50
26,137,50
27,23,50
28,25,50
29,101,45
30,137,50
31,137,20
32,31,50
33,57,50
34,24,50
35,17,45
36,50,20
37,101,45
38,137,20
39,31,50
40,23,50
41,24,50
42,31,50
43,24,50
44,57,50
45,137,20
46,101,45
47,137,20
48,137,50
49,137,50
50,137,50
51,57,50
52,57,50
53,137,50
