rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 5, 5, 1, 7.7796, 36.3047, 0.0000, 0.0000, 544.0000, 2659.0000, -2115.0000
r2, 4, 4, 1, 13.1280, 38.5737, 0.0000, 0.0000, 563.0000, 2659.0000, -2096.0000
r3, 4, 4, 1, 17.9903, 38.5737, 0.0000, 0.0000, 624.0000, 2659.0000, -2035.0000
r4, 2, 2, 0, 23.0146, 41.3290, 0.0000, 0.0000, 742.0000, 2659.0000, -1917.0000
r5, 2, 2, 0, 28.3630, 41.3290, 0.0000, 0.0000, 797.0000, 2659.0000, -1862.0000
r6, 3, 3, 0, 31.1183, 39.7083, 0.0000, 0.0000, 842.0000, 2659.0000, -1817.0000
r7, 2, 2, 0, 35.0081, 45.3809, 0.0000, 0.0000, 867.0000, 2659.0000, -1792.0000
r8, 2, 2, 0, 43.1118, 41.3290, 0.0000, 0.0000, 1043.0000, 2659.0000, -1616.0000
r9, 4, 4, 1, 23.1767, 26.5802, 0.0000, 0.0000, 747.0000, 2659.0000, -1912.0000
r10, 4, 4, 0, 19.6110, 37.9254, 0.0000, 0.0000, 827.0000, 2659.0000, -1832.0000
r11, 3, 3, 0, 34.8460, 39.7083, 0.0000, 0.0000, 1036.0000, 2659.0000, -1623.0000
r12, 3, 3, 0, 43.1118, 39.7083, 0.0000, 0.0000, 1183.0000, 2659.0000, -1476.0000
r13, 4, 4, 1, 42.4635, 5.6726, 0.0000, 0.0000, 2659.0000, 490.0000, 2169.0000
r14, 2, 2, 0, 43.7601, 8.1037, 0.0000, 0.0000, 2659.0000, 624.0000, 2035.0000
