time, entire-set, r1_l, r1_r, r2_l, r2_r, 
37.0, 0.988889, 1.000000, 0.977273, 0.969697, 1.000000, 
40.0, 0.977778, 1.000000, 0.977273, 0.939394, 1.000000, 
46.0, 0.966667, 1.000000, 0.954545, 0.909091, 1.000000, 
49.0, 0.955556, 1.000000, 0.931818, 0.878788, 1.000000, 
55.0, 0.933333, 1.000000, 0.886364, 0.818182, 1.000000, 
63.0, 0.922222, 1.000000, 0.863636, 0.787879, 1.000000, 
64.0, 0.911111, 1.000000, 0.840909, 0.757576, 1.000000, 
67.0, 0.888889, 1.000000, 0.795455, 0.727273, 0.972973, 
69.0, 0.877778, 1.000000, 0.772727, 0.727273, 0.972973, 
75.0, 0.866667, 1.000000, 0.750000, 0.727273, 0.972973, 
77.0, 0.855556, 1.000000, 0.750000, 0.727273, 0.972973, 
78.0, 0.844444, 1.000000, 0.750000, 0.727273, 0.972973, 
83.0, 0.833333, 1.000000, 0.727273, 0.696970, 0.972973, 
84.0, 0.822222, 1.000000, 0.727273, 0.666667, 0.972973, 
86.0, 0.811111, 1.000000, 0.704545, 0.636364, 0.972973, 
87.0, 0.800000, 1.000000, 0.681818, 0.636364, 0.945946, 
88.0, 0.788889, 1.000000, 0.659091, 0.606061, 0.945946, 
89.0, 0.777778, 0.966667, 0.659091, 0.606061, 0.918919, 
94.0, 0.766667, 0.966667, 0.636364, 0.575758, 0.918919, 
100.0, 0.755556, 0.966667, 0.636364, 0.575758, 0.918919, 
102.0, 0.744444, 0.966667, 0.613636, 0.545455, 0.918919, 
104.0, 0.722222, 0.966667, 0.568182, 0.515152, 0.891892, 
107.0, 0.711111, 0.966667, 0.545455, 0.484848, 0.891892, 
108.0, 0.700000, 0.966667, 0.522727, 0.484848, 0.864865, 
111.0, 0.688889, 0.966667, 0.500000, 0.454545, 0.864865, 
114.0, 0.677778, 0.966667, 0.477273, 0.454545, 0.864865, 
117.0, 0.666667, 0.966667, 0.454545, 0.424242, 0.864865, 
118.0, 0.644444, 0.966667, 0.409091, 0.393939, 0.837838, 
119.0, 0.622222, 0.966667, 0.386364, 0.363636, 0.837838, 
123.0, 0.611111, 0.966667, 0.363636, 0.333333, 0.837838, 
125.0, 0.600000, 0.933333, 0.363636, 0.333333, 0.837838, 
129.0, 0.588889, 0.933333, 0.340909, 0.333333, 0.810811, 
130.0, 0.577778, 0.933333, 0.318182, 0.333333, 0.783784, 
132.0, 0.555556, 0.900000, 0.295455, 0.303030, 0.756757, 
136.0, 0.544444, 0.866667, 0.295455, 0.303030, 0.729730, 
137.0, 0.533333, 0.866667, 0.295455, 0.303030, 0.729730, 
143.0, 0.522222, 0.833333, 0.295455, 0.303030, 0.702703, 
145.0, 0.511111, 0.833333, 0.272727, 0.272727, 0.702703, 
148.0, 0.500000, 0.833333, 0.272727, 0.272727, 0.702703, 
151.0, 0.488889, 0.833333, 0.250000, 0.272727, 0.675676, 
154.0, 0.477778, 0.833333, 0.250000, 0.272727, 0.648649, 
157.0, 0.444444, 0.800000, 0.204545, 0.181818, 0.648649, 
167.0, 0.433333, 0.800000, 0.181818, 0.181818, 0.648649, 
168.0, 0.411111, 0.800000, 0.136364, 0.121212, 0.648649, 
169.0, 0.400000, 0.800000, 0.136364, 0.121212, 0.648649, 
173.0, 0.388889, 0.800000, 0.113636, 0.090909, 0.648649, 
178.0, 0.377778, 0.800000, 0.090909, 0.060606, 0.648649, 
179.0, 0.344444, 0.766667, 0.068182, 0.060606, 0.567568, 
181.0, 0.333333, 0.766667, 0.045455, 0.030303, 0.567568, 
185.0, 0.322222, 0.733333, 0.045455, 0.030303, 0.567568, 
190.0, 0.311111, 0.700000, 0.045455, 0.030303, 0.540541, 
191.0, 0.300000, 0.700000, 0.022727, 0.030303, 0.540541, 
193.0, 0.288889, 0.666667, 0.022727, 0.030303, 0.513514, 
202.0, 0.277778, 0.666667, 0.000000, 0.000000, 0.513514, 
205.0, 0.266667, 0.666667, 0.000000, 0.000000, 0.486486, 
206.0, 0.255556, 0.633333, 0.000000, 0.000000, 0.459459, 
210.0, 0.244444, 0.633333, 0.000000, 0.000000, 0.459459, 
212.0, 0.233333, 0.600000, 0.000000, 0.000000, 0.432432, 
217.0, 0.222222, 0.600000, 0.000000, 0.000000, 0.405405, 
223.0, 0.211111, 0.566667, 0.000000, 0.000000, 0.378378, 
229.0, 0.200000, 0.533333, 0.000000, 0.000000, 0.351351, 

