attribute,value
creat,"(-inf, 0.7>"
creat,"(0.7, inf)"
dxyr,"(-inf, 59.5>"
dxyr,"(59.5, 61.0>"
dxyr,"(61.0, 66.5>"
dxyr,"(66.5, 70.5>"
dxyr,"(70.5, inf)"
age,"(-inf, 55.5>"
age,"(55.5, 62.5>"
age,"(62.5, 65.5>"
age,"(65.5, 74.5>"
age,"(74.5, inf)"
hgb,"(-inf, 9.95>"
hgb,"(9.95, 11.25>"
hgb,"(11.25, 11.95>"
hgb,"(11.95, 13.649999999999999>"
hgb,"(13.649999999999999, 14.3>"
hgb,"(14.3, 16.35>"
hgb,"(16.35, inf)"
mspike,"(-inf, 1.05>"
mspike,"(1.05, inf)"
alb,"(-inf, 2.8499999999999996>"
alb,"(2.8499999999999996, inf)"
