time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, r17_l, r17_r, r18_l, r18_r, 
1.0, 0.996198, 1.000000, 1.000000, 1.000000, 0.995169, 1.000000, 1.000000, 1.000000, 0.996169, 1.000000, 0.997653, 0.987654, 0.997653, 0.991736, 1.000000, 0.994536, 0.997653, 1.000000, 0.997807, 0.991597, 1.000000, 0.993827, 0.997807, 0.995984, 1.000000, 0.994220, 1.000000, 1.000000, 0.988095, 1.000000, 1.000000, 1.000000, 1.000000, 0.994475, 1.000000, 0.996377, 0.989011, 
2.0, 0.993640, 1.000000, 1.000000, 1.000000, 0.990267, 1.000000, 1.000000, 1.000000, 0.996169, 1.000000, 0.995288, 0.987654, 0.995288, 0.983471, 1.000000, 0.988979, 0.995288, 1.000000, 0.995599, 0.987323, 0.997487, 0.990702, 0.995599, 0.987887, 1.000000, 0.988337, 1.000000, 1.000000, 0.988095, 0.993548, 1.000000, 0.996109, 0.992248, 0.994475, 1.000000, 0.996377, 0.989011, 
3.0, 0.984654, 1.000000, 1.000000, 0.995283, 0.975560, 0.990244, 0.973684, 1.000000, 0.996169, 0.977778, 0.992913, 0.950617, 0.992913, 0.950413, 1.000000, 0.966755, 0.992913, 0.993007, 0.991155, 0.965952, 0.994962, 0.975076, 0.991155, 0.975740, 0.988189, 0.982454, 1.000000, 1.000000, 0.964286, 0.987097, 0.939394, 0.992203, 0.984496, 0.988919, 1.000000, 0.992714, 0.967033, 
4.0, 0.979492, 1.000000, 1.000000, 0.990566, 0.965656, 0.990244, 0.947008, 1.000000, 0.992262, 0.977778, 0.988151, 0.950617, 0.988151, 0.950413, 1.000000, 0.955514, 0.988151, 0.978821, 0.986700, 0.957327, 0.989899, 0.968765, 0.986700, 0.967609, 0.984252, 0.982454, 0.991667, 1.000000, 0.952232, 0.987097, 0.908081, 0.988281, 0.976683, 0.988919, 1.000000, 0.985387, 0.955918, 
5.0, 0.969113, 0.993939, 0.976190, 0.985826, 0.955649, 0.975537, 0.933670, 0.964286, 0.980496, 0.932300, 0.973830, 0.925926, 0.973830, 0.942002, 1.000000, 0.944206, 0.973830, 0.964427, 0.973306, 0.948664, 0.977208, 0.962391, 0.973306, 0.955309, 0.972394, 0.982454, 0.983191, 1.000000, 0.940024, 0.967355, 0.876768, 0.976374, 0.976683, 0.977745, 0.979167, 0.974357, 0.955918, 
6.0, 0.969113, 0.993939, 0.976190, 0.985826, 0.955649, 0.975537, 0.933670, 0.964286, 0.980496, 0.932300, 0.973830, 0.925926, 0.973830, 0.942002, 1.000000, 0.944206, 0.973830, 0.964427, 0.973306, 0.948664, 0.977208, 0.962391, 0.973306, 0.955309, 0.972394, 0.982454, 0.983191, 1.000000, 0.940024, 0.967355, 0.876768, 0.976374, 0.976683, 0.977745, 0.979167, 0.974357, 0.955918, 
7.0, 0.966469, 0.993939, 0.976190, 0.985826, 0.950566, 0.975537, 0.919734, 0.964286, 0.980496, 0.909561, 0.971389, 0.913580, 0.971389, 0.942002, 1.000000, 0.938484, 0.971389, 0.957175, 0.971027, 0.944251, 0.974609, 0.959151, 0.971027, 0.946929, 0.972394, 0.982454, 0.983191, 1.000000, 0.940024, 0.967355, 0.876768, 0.972306, 0.976683, 0.977745, 0.979167, 0.974357, 0.955918, 
8.0, 0.963817, 0.993939, 0.976190, 0.985826, 0.950566, 0.975537, 0.905799, 0.964286, 0.976494, 0.909561, 0.966508, 0.913580, 0.966508, 0.933516, 1.000000, 0.938484, 0.966508, 0.957175, 0.966446, 0.944251, 0.972010, 0.959151, 0.966446, 0.942739, 0.972394, 0.982454, 0.983191, 1.000000, 0.940024, 0.967355, 0.876768, 0.972306, 0.968742, 0.977745, 0.979167, 0.974357, 0.955918, 
9.0, 0.961158, 0.993939, 0.951786, 0.985826, 0.940399, 0.975537, 0.905799, 0.928571, 0.976494, 0.886822, 0.966508, 0.901235, 0.966508, 0.925029, 1.000000, 0.927039, 0.966508, 0.949924, 0.966446, 0.935427, 0.972010, 0.952670, 0.966446, 0.938549, 0.972394, 0.982454, 0.965942, 1.000000, 0.940024, 0.967355, 0.876768, 0.972306, 0.960802, 0.977745, 0.936594, 0.974357, 0.955918, 
10.0, 0.959825, 0.993939, 0.951786, 0.985826, 0.940399, 0.975537, 0.905799, 0.928571, 0.972459, 0.886822, 0.964049, 0.901235, 0.964049, 0.925029, 1.000000, 0.927039, 0.964049, 0.949924, 0.964134, 0.935427, 0.969390, 0.952670, 0.964134, 0.938549, 0.972394, 0.982454, 0.965942, 1.000000, 0.940024, 0.967355, 0.876768, 0.972306, 0.960802, 0.977745, 0.936594, 0.974357, 0.955918, 
