rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 7, 7, 3, 21.2928, 5.7034, 0.0000, 0.0000, 1327.0000, 274.0000, 1053.0000
r2, 4, 4, 2, 27.2497, 26.2357, 0.0000, 0.0000, 1327.0000, 377.0000, 950.0000
r3, 4, 2, 1, 26.2357, 9.8859, 0.0000, 0.0000, 1519.0000, 367.0000, 1152.0000
r4, 5, 4, 0, 3.8023, 33.0798, 0.0000, 0.0000, 194.0000, 1168.0000, -974.0000
r5, 5, 5, 3, 5.7034, 53.9924, 0.0000, 0.0000, 248.0000, 846.0000, -598.0000
r6, 4, 4, 2, 10.2662, 53.9924, 0.0000, 0.0000, 337.0000, 846.0000, -509.0000
r7, 5, 3, 1, 15.3359, 7.4778, 0.0000, 0.0000, 400.0000, 1397.0000, -997.0000
r8, 2, 2, 0, 23.1939, 53.9924, 0.0000, 0.0000, 390.0000, 846.0000, -456.0000
r9, 3, 3, 2, 18.1242, 57.7947, 0.0000, 0.0000, 383.0000, 846.0000, -463.0000
r10, 4, 4, 1, 30.1648, 50.5703, 0.0000, 0.0000, 390.0000, 846.0000, -456.0000
r11, 3, 3, 2, 41.0646, 57.7947, 0.0000, 0.0001, 467.0000, 846.0000, -379.0000
r12, 5, 4, 3, 31.5589, 32.5729, 0.0000, 0.0000, 383.0000, 1327.0000, -944.0000
r13, 5, 4, 3, 21.9265, 15.5894, 0.0000, 0.0000, 1482.0000, 338.0000, 1144.0000
r14, 2, 2, 0, 10.1394, 10.6464, 0.0000, 0.0000, 1519.0000, 377.0000, 1142.0000
r15, 6, 4, 1, 19.6451, 4.4360, 0.0000, 0.0000, 1096.0000, 244.0000, 852.0000
r16, 2, 2, 0, 32.5729, 16.3498, 0.0000, 0.0013, 858.0000, 426.0000, 432.0000
r17, 8, 7, 5, 22.9404, 6.3371, 0.0000, 0.0000, 1466.0000, 289.0000, 1177.0000
r18, 3, 3, 1, 34.9810, 11.5336, 0.0000, 0.0000, 858.0000, 360.0000, 498.0000
