attribute,value
Recipientage,"(-inf, 14.05>"
Recipientage,"(14.05, 15.8>"
Recipientage,"(15.8, 20.15>"
Recipientage,"(20.15, inf)"
PLTrecovery,"(-inf, 26.5>"
PLTrecovery,"(26.5, inf)"
Rbodymass,"(-inf, 27.25>"
Rbodymass,"(27.25, 60.7>"
Rbodymass,"(60.7, inf)"
Donorage,"(-inf, 46.828767>"
Donorage,"(46.828767, inf)"
extcGvHD,{1}
CD34kgx10d6,"(-inf, 7.15>"
CD34kgx10d6,"(7.15, 8.68>"
CD34kgx10d6,"(8.68, 11.739999999999998>"
CD34kgx10d6,"(11.739999999999998, 11.855>"
CD34kgx10d6,"(11.855, inf)"
RecipientRh,{1}
CD3dCD34,"(-inf, 0.7767255>"
CD3dCD34,"(0.7767255, 5.403679500000001>"
CD3dCD34,"(5.403679500000001, inf)"
