attribute,value
PLTrecovery,"(-inf, 18.0>"
PLTrecovery,"(18.0, 21.5>"
PLTrecovery,"(21.5, 26.5>"
PLTrecovery,"(26.5, 266.0>"
PLTrecovery,"(266.0, 500142.5>"
PLTrecovery,"(500142.5, inf)"
Recipientage,"(-inf, 14.05>"
Recipientage,"(14.05, inf)"
CD34kgx10d6,"(-inf, 6.49>"
CD34kgx10d6,"(6.49, 11.885>"
CD34kgx10d6,"(11.885, inf)"
CD3dCD34,"(-inf, 0.8855375000000001>"
CD3dCD34,"(0.8855375000000001, 5.403679500000001>"
CD3dCD34,"(5.403679500000001, inf)"
extcGvHD,{1}
CD3dkgx10d8,"(-inf, 2.6>"
CD3dkgx10d8,"(2.6, 3.34>"
CD3dkgx10d8,"(3.34, 3.575>"
CD3dkgx10d8,"(3.575, 4.755000000000001>"
CD3dkgx10d8,"(4.755000000000001, 6.385>"
CD3dkgx10d8,"(6.385, inf)"
