rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 6, 5, 3, 5.5767, 50.5703, 0.0000, 0.0000, 175.0000, 842.0000, -667.0000
r2, 8, 7, 4, 11.9138, 29.7845, 0.0000, 0.0000, 337.0000, 1207.0000, -870.0000
r3, 6, 6, 4, 15.3359, 32.5729, 0.0000, 0.0000, 277.0000, 1207.0000, -930.0000
r4, 7, 6, 4, 21.1660, 32.3194, 0.0000, 0.0000, 337.0000, 1207.0000, -870.0000
r5, 3, 3, 2, 25.7288, 32.8264, 0.0000, 0.0000, 353.0000, 1207.0000, -854.0000
r6, 4, 4, 1, 29.6578, 52.7250, 0.0000, 0.0000, 383.0000, 846.0000, -463.0000
r7, 6, 5, 3, 23.7009, 6.8441, 0.0000, 0.0000, 1327.0000, 272.0000, 1055.0000
r8, 7, 6, 2, 24.0811, 9.7592, 0.0000, 0.0000, 1327.0000, 331.0000, 996.0000
r9, 5, 5, 3, 23.1939, 32.5729, 0.0000, 0.0000, 274.0000, 1207.0000, -933.0000
r10, 2, 2, 1, 37.5158, 22.5602, 0.0000, 0.0000, 400.0000, 1327.0000, -927.0000
r11, 6, 4, 2, 32.6996, 8.7452, 0.0000, 0.0000, 869.0000, 297.0000, 572.0000
r12, 3, 3, 2, 36.6286, 8.6185, 0.0000, 0.0000, 869.0000, 337.0000, 532.0000
r13, 3, 3, 0, 30.1648, 9.2522, 0.0000, 0.0001, 846.0000, 268.0000, 578.0000
