time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, 
1.0, 0.996198, 0.977273, 0.997494, 0.989362, 1.000000, 0.991736, 1.000000, 0.994012, 1.000000, 0.995074, 1.000000, 0.995726, 1.000000, 1.000000, 0.981481, 1.000000, 1.000000, 0.989071, 1.000000, 0.993243, 1.000000, 0.996124, 0.985507, 0.996540, 0.985294, 1.000000, 1.000000, 
2.0, 0.993637, 0.977273, 0.994968, 0.989362, 1.000000, 0.991736, 1.000000, 0.987951, 1.000000, 0.990074, 1.000000, 0.991397, 0.997590, 1.000000, 0.981481, 1.000000, 0.986842, 0.983451, 1.000000, 0.989806, 1.000000, 0.992233, 0.985507, 0.993068, 0.985294, 0.995781, 0.986111, 
3.0, 0.985934, 0.977273, 0.992430, 0.989362, 0.991416, 0.983471, 0.988235, 0.981890, 0.988142, 0.980073, 0.988327, 0.978410, 0.992748, 1.000000, 0.981481, 0.989474, 0.986842, 0.972212, 0.988235, 0.979496, 0.988764, 0.988342, 0.956522, 0.986074, 0.985294, 0.995781, 0.972222, 
4.0, 0.980772, 0.954545, 0.987341, 0.978608, 0.987124, 0.975065, 0.984314, 0.969692, 0.984190, 0.969969, 0.984436, 0.969674, 0.987893, 1.000000, 0.962607, 0.984211, 0.973506, 0.960841, 0.984314, 0.972549, 0.988764, 0.984451, 0.942029, 0.982577, 0.970365, 0.991525, 0.972222, 
5.0, 0.971679, 0.954545, 0.974551, 0.978608, 0.978541, 0.966587, 0.972502, 0.957340, 0.972284, 0.959759, 0.972716, 0.960818, 0.978160, 0.994624, 0.962607, 0.978947, 0.973506, 0.949402, 0.972502, 0.965552, 0.977464, 0.972684, 0.927310, 0.968490, 0.970365, 0.978536, 0.930556, 
6.0, 0.971679, 0.954545, 0.974551, 0.978608, 0.978541, 0.966587, 0.972502, 0.957340, 0.972284, 0.959759, 0.972716, 0.960818, 0.978160, 0.994624, 0.962607, 0.978947, 0.973506, 0.949402, 0.972502, 0.965552, 0.977464, 0.972684, 0.927310, 0.968490, 0.970365, 0.978536, 0.930556, 
7.0, 0.967724, 0.954545, 0.971939, 0.978608, 0.974192, 0.958033, 0.968516, 0.951123, 0.968266, 0.954599, 0.968762, 0.956349, 0.975684, 0.989247, 0.962607, 0.978947, 0.973506, 0.943613, 0.968516, 0.962016, 0.977464, 0.968698, 0.927310, 0.961290, 0.970365, 0.969680, 0.930556, 
8.0, 0.966402, 0.954545, 0.969326, 0.978608, 0.974192, 0.958033, 0.968516, 0.951123, 0.968266, 0.954599, 0.968762, 0.956349, 0.975684, 0.989247, 0.962607, 0.978947, 0.973506, 0.943613, 0.968516, 0.962016, 0.977464, 0.968698, 0.927310, 0.961290, 0.970365, 0.969680, 0.930556, 
9.0, 0.963754, 0.954545, 0.969326, 0.967612, 0.974192, 0.949479, 0.968516, 0.944907, 0.968266, 0.949439, 0.968762, 0.951880, 0.975684, 0.989247, 0.943355, 0.978947, 0.973506, 0.932035, 0.968516, 0.954942, 0.977464, 0.968698, 0.927310, 0.961290, 0.955203, 0.969680, 0.930556, 
10.0, 0.961103, 0.954545, 0.966706, 0.967612, 0.969803, 0.949479, 0.964498, 0.944907, 0.964215, 0.949439, 0.964776, 0.947411, 0.973182, 0.989247, 0.943355, 0.978947, 0.973506, 0.932035, 0.964498, 0.954942, 0.971680, 0.968698, 0.927310, 0.961290, 0.940041, 0.969680, 0.930556, 
11.0, 0.959777, 0.954545, 0.966706, 0.967612, 0.969803, 0.949479, 0.964498, 0.944907, 0.964215, 0.949439, 0.964776, 0.947411, 0.973182, 0.989247, 0.943355, 0.978947, 0.973506, 0.932035, 0.964498, 0.954942, 0.971680, 0.968698, 0.927310, 0.961290, 0.940041, 0.969680, 0.930556, 
12.0, 0.958448, 0.931264, 0.966706, 0.956490, 0.969803, 0.940925, 0.964498, 0.938649, 0.964215, 0.944251, 0.964776, 0.942921, 0.973182, 0.989247, 0.943355, 0.978947, 0.973506, 0.926210, 0.964498, 0.951392, 0.971680, 0.968698, 0.912591, 0.961290, 0.924880, 0.969680, 0.916016, 
13.0, 0.954437, 0.907982, 0.966706, 0.945237, 0.969803, 0.932371, 0.964498, 0.932349, 0.964215, 0.939034, 0.964776, 0.938410, 0.970667, 0.989247, 0.943355, 0.978947, 0.973506, 0.914560, 0.964498, 0.944239, 0.971680, 0.968698, 0.897630, 0.961290, 0.924880, 0.969680, 0.901476, 
14.0, 0.954437, 0.907982, 0.966706, 0.945237, 0.969803, 0.932371, 0.964498, 0.932349, 0.964215, 0.939034, 0.964776, 0.938410, 0.970667, 0.989247, 0.943355, 0.978947, 0.973506, 0.914560, 0.964498, 0.944239, 0.971680, 0.968698, 0.897630, 0.961290, 0.924880, 0.969680, 0.901476, 
15.0, 0.954437, 0.907982, 0.966706, 0.945237, 0.969803, 0.932371, 0.964498, 0.932349, 0.964215, 0.939034, 0.964776, 0.938410, 0.970667, 0.989247, 0.943355, 0.978947, 0.973506, 0.914560, 0.964498, 0.944239, 0.971680, 0.968698, 0.897630, 0.961290, 0.924880, 0.969680, 0.901476, 
