attribute,value
LNDT,"(-inf, 1.2424529999999998>"
LNDT,"(1.2424529999999998, inf)"
BECK,"(-inf, 6.15>"
BECK,"(6.15, 11.5>"
BECK,"(11.5, 12.0>"
BECK,"(12.0, 23.5>"
BECK,"(23.5, 30.5>"
BECK,"(30.5, 36.375>"
BECK,"(36.375, 36.9>"
BECK,"(36.9, 37.4>"
BECK,"(37.4, 46.0>"
BECK,"(46.0, inf)"
RACE,"(-inf, 0.5>"
RACE,"(0.5, inf)"
FRAC,"(-inf, 0.1277775>"
FRAC,"(0.1277775, 0.2916665>"
FRAC,"(0.2916665, 0.30833350000000004>"
FRAC,"(0.30833350000000004, 0.55>"
FRAC,"(0.55, 0.675>"
FRAC,"(0.675, 0.7277775>"
FRAC,"(0.7277775, 0.736111>"
FRAC,"(0.736111, 0.7416665>"
FRAC,"(0.7416665, 0.7694445>"
FRAC,"(0.7694445, 0.836111>"
FRAC,"(0.836111, inf)"
IV,"(-inf, 1.5>"
IV,"(1.5, inf)"
AGE,"(-inf, 21.5>"
AGE,"(21.5, 43.5>"
AGE,"(43.5, 45.5>"
AGE,"(45.5, inf)"
ND2,"(-inf, 0.361679>"
ND2,"(0.361679, 0.3664195>"
ND2,"(0.3664195, inf)"
