rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 6, 6, 5, 19.3916, 57.9214, 0.0000, 0.0000, 353.0000, 869.0000, -516.0000
r2, 6, 6, 5, 22.9404, 57.9214, 0.0000, 0.0000, 338.0000, 869.0000, -531.0000
r3, 2, 2, 1, 30.2915, 57.9214, 0.0000, 0.0000, 389.0000, 869.0000, -480.0000
r4, 5, 4, 2, 24.2079, 50.6971, 0.0000, 0.0000, 297.0000, 869.0000, -572.0000
r5, 3, 3, 2, 36.2484, 57.9214, 0.0000, 0.0000, 390.0000, 869.0000, -479.0000
r6, 6, 5, 3, 21.1660, 6.8441, 0.0000, 0.0000, 1327.0000, 367.0000, 960.0000
r7, 5, 4, 2, 26.1090, 12.4208, 0.0000, 0.0000, 1207.0000, 360.0000, 847.0000
r8, 4, 3, 2, 26.1090, 10.1394, 0.0000, 0.0000, 1207.0000, 462.0000, 745.0000
r9, 5, 5, 4, 31.4322, 16.9835, 0.0000, 0.0000, 383.0000, 1207.0000, -824.0000
r10, 8, 8, 5, 27.2497, 15.5894, 0.0000, 0.0000, 1138.0000, 353.0000, 785.0000
r11, 5, 5, 3, 34.2205, 21.7997, 0.0000, 0.0000, 869.0000, 367.0000, 502.0000
r12, 2, 2, 1, 39.1635, 30.4183, 0.0000, 0.0000, 956.0000, 389.0000, 567.0000
r13, 3, 3, 2, 30.1648, 32.8264, 0.0000, 0.0000, 465.0000, 1168.0000, -703.0000
