time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, 
1.0, 0.997465, 0.993464, 0.997812, 0.994475, 0.997812, 0.995816, 0.997812, 0.994764, 1.000000, 0.996503, 0.997812, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.995968, 0.992537, 0.995349, 0.991870, 0.996296, 0.994186, 0.996764, 0.995833, 0.991597, 1.000000, 
2.0, 0.994908, 0.993464, 0.995614, 0.988888, 0.995614, 0.991578, 0.995614, 0.989387, 0.997494, 0.992945, 0.995614, 1.000000, 1.000000, 1.000000, 0.989691, 1.000000, 1.000000, 0.987804, 0.992537, 0.990698, 0.983604, 0.992593, 0.988268, 0.993528, 0.991614, 0.991597, 1.000000, 
3.0, 0.985921, 0.980392, 0.991189, 0.972127, 0.991189, 0.974628, 0.991189, 0.967879, 0.994975, 0.978709, 0.991189, 1.000000, 0.980769, 0.995122, 0.979381, 0.990196, 0.974026, 0.975559, 0.992537, 0.986047, 0.950542, 0.988875, 0.964597, 0.987013, 0.974735, 0.987341, 0.988281, 
4.0, 0.980759, 0.967320, 0.986754, 0.960889, 0.986754, 0.966079, 0.986754, 0.957004, 0.989924, 0.971512, 0.986754, 1.000000, 0.961154, 0.990244, 0.968962, 0.990196, 0.947701, 0.967361, 0.992537, 0.986047, 0.933866, 0.985157, 0.952689, 0.983755, 0.966222, 0.987341, 0.984375, 
5.0, 0.970367, 0.954069, 0.973390, 0.949517, 0.973390, 0.957415, 0.973390, 0.946067, 0.977265, 0.964262, 0.973390, 0.993939, 0.941538, 0.985342, 0.968962, 0.975490, 0.934538, 0.954959, 0.992537, 0.971960, 0.925453, 0.970174, 0.940705, 0.967359, 0.957595, 0.974463, 0.972610, 
6.0, 0.970367, 0.954069, 0.973390, 0.949517, 0.973390, 0.957415, 0.973390, 0.946067, 0.977265, 0.964262, 0.973390, 0.993939, 0.941538, 0.985342, 0.968962, 0.975490, 0.934538, 0.954959, 0.992537, 0.971960, 0.925453, 0.970174, 0.940705, 0.967359, 0.957595, 0.974463, 0.972610, 
7.0, 0.966396, 0.947303, 0.968830, 0.943797, 0.968830, 0.953023, 0.968830, 0.940534, 0.974673, 0.960582, 0.968830, 0.993939, 0.920615, 0.985342, 0.968962, 0.970513, 0.920795, 0.946508, 0.992537, 0.967148, 0.916962, 0.966339, 0.934636, 0.960618, 0.953223, 0.965723, 0.968640, 
8.0, 0.963741, 0.947303, 0.964250, 0.943797, 0.964250, 0.953023, 0.964250, 0.940534, 0.972081, 0.960582, 0.964250, 0.993939, 0.899692, 0.985342, 0.958196, 0.970513, 0.907052, 0.942282, 0.992537, 0.967148, 0.916962, 0.966339, 0.934636, 0.957236, 0.953223, 0.961353, 0.968640, 
9.0, 0.959747, 0.933770, 0.964250, 0.932357, 0.964250, 0.944239, 0.964250, 0.923936, 0.972081, 0.949541, 0.964250, 0.993939, 0.899692, 0.985342, 0.947430, 0.970513, 0.907052, 0.938057, 0.992537, 0.967148, 0.899981, 0.966339, 0.922498, 0.957236, 0.944477, 0.956983, 0.968640, 
10.0, 0.958413, 0.933770, 0.964250, 0.932357, 0.964250, 0.939847, 0.964250, 0.923936, 0.972081, 0.949541, 0.964250, 0.993939, 0.899692, 0.980340, 0.947430, 0.970513, 0.893309, 0.938057, 0.992537, 0.967148, 0.891491, 0.966339, 0.916429, 0.957236, 0.940105, 0.956983, 0.964604, 
11.0, 0.957078, 0.933770, 0.961937, 0.932357, 0.961937, 0.939847, 0.961937, 0.923936, 0.969468, 0.949541, 0.961937, 0.993939, 0.899692, 0.980340, 0.936664, 0.970513, 0.893309, 0.938057, 0.984597, 0.967148, 0.891491, 0.966339, 0.916429, 0.953817, 0.940105, 0.956983, 0.964604, 
12.0, 0.957078, 0.933770, 0.961937, 0.932357, 0.961937, 0.939847, 0.961937, 0.923936, 0.969468, 0.949541, 0.961937, 0.993939, 0.899692, 0.980340, 0.936664, 0.970513, 0.893309, 0.938057, 0.984597, 0.967148, 0.891491, 0.966339, 0.916429, 0.953817, 0.940105, 0.956983, 0.964604, 
13.0, 0.953039, 0.927004, 0.959614, 0.926566, 0.959614, 0.935414, 0.959614, 0.912805, 0.969468, 0.942093, 0.959614, 0.993939, 0.899692, 0.980340, 0.936664, 0.970513, 0.893309, 0.933793, 0.984597, 0.967148, 0.891491, 0.966339, 0.910319, 0.953817, 0.935670, 0.948204, 0.964604, 
