time, entire-set, r1_l, r1_r, r2_l, r2_r, 
30.0, 0.988889, 1.000000, 0.969697, 0.969697, 1.000000, 
33.0, 0.977778, 1.000000, 0.939394, 0.939394, 1.000000, 
36.0, 0.966667, 1.000000, 0.909091, 0.939394, 1.000000, 
45.0, 0.955556, 1.000000, 0.909091, 0.909091, 1.000000, 
47.0, 0.944444, 1.000000, 0.878788, 0.878788, 1.000000, 
48.0, 0.933333, 1.000000, 0.848485, 0.848485, 1.000000, 
49.0, 0.922222, 1.000000, 0.848485, 0.818182, 1.000000, 
53.0, 0.900000, 0.966667, 0.818182, 0.757576, 1.000000, 
54.0, 0.888889, 0.966667, 0.787879, 0.727273, 1.000000, 
55.0, 0.877778, 0.966667, 0.757576, 0.727273, 1.000000, 
67.0, 0.855556, 0.966667, 0.696970, 0.696970, 0.972973, 
70.0, 0.833333, 0.900000, 0.696970, 0.696970, 0.918919, 
71.0, 0.822222, 0.866667, 0.696970, 0.666667, 0.918919, 
72.0, 0.800000, 0.866667, 0.666667, 0.636364, 0.891892, 
73.0, 0.788889, 0.866667, 0.636364, 0.636364, 0.864865, 
75.0, 0.766667, 0.866667, 0.606061, 0.606061, 0.864865, 
77.0, 0.755556, 0.866667, 0.575758, 0.575758, 0.864865, 
82.0, 0.744444, 0.866667, 0.575758, 0.545455, 0.864865, 
87.0, 0.733333, 0.833333, 0.575758, 0.545455, 0.837838, 
88.0, 0.722222, 0.833333, 0.545455, 0.515152, 0.837838, 
93.0, 0.711111, 0.800000, 0.545455, 0.515152, 0.837838, 
96.0, 0.700000, 0.800000, 0.545455, 0.515152, 0.837838, 
97.0, 0.688889, 0.800000, 0.545455, 0.484848, 0.837838, 
104.0, 0.677778, 0.800000, 0.545455, 0.454545, 0.837838, 
105.0, 0.666667, 0.800000, 0.515152, 0.424242, 0.837838, 
109.0, 0.655556, 0.766667, 0.515152, 0.424242, 0.810811, 
111.0, 0.644444, 0.733333, 0.515152, 0.424242, 0.783784, 
112.0, 0.622222, 0.733333, 0.454545, 0.393939, 0.756757, 
120.0, 0.588889, 0.700000, 0.393939, 0.393939, 0.675676, 
122.0, 0.577778, 0.666667, 0.393939, 0.393939, 0.675676, 
124.0, 0.566667, 0.666667, 0.363636, 0.363636, 0.675676, 
125.0, 0.544444, 0.666667, 0.363636, 0.333333, 0.648649, 
129.0, 0.533333, 0.633333, 0.363636, 0.333333, 0.648649, 
130.0, 0.522222, 0.600000, 0.363636, 0.333333, 0.648649, 
132.0, 0.488889, 0.566667, 0.333333, 0.303030, 0.594595, 
133.0, 0.477778, 0.566667, 0.303030, 0.303030, 0.567568, 
134.0, 0.466667, 0.566667, 0.272727, 0.303030, 0.540541, 
135.0, 0.455556, 0.566667, 0.272727, 0.272727, 0.540541, 
142.0, 0.444444, 0.566667, 0.272727, 0.272727, 0.540541, 
143.0, 0.433333, 0.533333, 0.272727, 0.272727, 0.540541, 
145.0, 0.411111, 0.533333, 0.212121, 0.242424, 0.513514, 
146.0, 0.388889, 0.533333, 0.181818, 0.242424, 0.486486, 
147.0, 0.377778, 0.500000, 0.181818, 0.242424, 0.459459, 
149.0, 0.366667, 0.500000, 0.181818, 0.242424, 0.459459, 
151.0, 0.344444, 0.500000, 0.151515, 0.212121, 0.432432, 
154.0, 0.333333, 0.500000, 0.121212, 0.181818, 0.432432, 
155.0, 0.322222, 0.466667, 0.121212, 0.151515, 0.432432, 
157.0, 0.311111, 0.466667, 0.121212, 0.121212, 0.432432, 
159.0, 0.288889, 0.433333, 0.121212, 0.090909, 0.405405, 
161.0, 0.266667, 0.433333, 0.090909, 0.090909, 0.378378, 
163.0, 0.255556, 0.433333, 0.060606, 0.090909, 0.378378, 
164.0, 0.244444, 0.400000, 0.060606, 0.090909, 0.351351, 
165.0, 0.233333, 0.400000, 0.060606, 0.060606, 0.351351, 
167.0, 0.222222, 0.400000, 0.060606, 0.060606, 0.351351, 
170.0, 0.211111, 0.400000, 0.030303, 0.060606, 0.351351, 
171.0, 0.188889, 0.400000, 0.030303, 0.030303, 0.351351, 

