((stdagepill, (stdagepill, (-1.909091, -0.090909>) -> (stdagepill, (-inf, -1.909091>)))
((stdagepill, (stdagepill, (-1.909091, -0.090909>) -> (stdagepill, (-inf, -1.909091>)))
((stdagepill, (stdagepill, (-1.909091, -0.090909>) -> (stdagepill, (-inf, -1.909091>)))
((agepill, (agepill, (55.0, 61.5>) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (55.0, 61.5>) -> (agepill, (-inf, 41.0>)))
((stdagepill, (stdagepill, (1.7272729999999998, inf)) -> (stdagepill, (-inf, -1.909091>)))
((agepill, (agepill, (42.5, 51.5>) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (55.0, 61.5>) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (42.5, 51.5>) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (42.5, 51.5>) -> (agepill, (-inf, 41.0>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-inf, -1.909091>)))
((agepill, (agepill, (55.0, 61.5>) -> (agepill, (-inf, 41.0>)))
((stdagepill, (stdagepill, (-1.909091, -0.090909>) -> (stdagepill, (-inf, -1.909091>)))
((agepill, (agepill, (42.5, 51.5>) -> (agepill, (-inf, 41.0>)))
((stdagepill, (stdagepill, (-1.909091, -0.090909>) -> (stdagepill, (-inf, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-inf, -1.909091>)))
((stdagepill, (stdagepill, (-1.909091, -0.090909>) -> (stdagepill, (-inf, -1.909091>)))
((agepill, (agepill, (55.0, 61.5>) -> (agepill, (-inf, 41.0>)))
((stdagepill, (stdagepill, (-inf, -1.909091>) -> (stdagepill, (-inf, -1.909091>)))
((stdagepill, (stdagepill, (-1.909091, -0.090909>) -> (stdagepill, (-inf, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-inf, -1.909091>)))
((agepill, (agepill, (61.5, inf)) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (61.5, inf)) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (61.5, inf)) -> (agepill, (-inf, 41.0>)))
((stdagepill, (stdagepill, (-1.909091, -0.090909>) -> (stdagepill, (-inf, -1.909091>)) AND (dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((stdagepill, (stdagepill, (-1.909091, -0.090909>) -> (stdagepill, (-inf, -1.909091>)))
((agepill, (agepill, (42.5, 51.5>) -> (agepill, (-inf, 41.0>)))
((stdagepill, (stdagepill, (-inf, -1.909091>) -> (stdagepill, (-inf, -1.909091>)))
((agepill, (agepill, (61.5, inf)) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (51.5, 55.0>) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (61.5, inf)) -> (agepill, (-inf, 41.0>)))
((stdagepill, (stdagepill, (-1.909091, -0.090909>) -> (stdagepill, (-inf, -1.909091>)))
((agepill, (agepill, (42.5, 51.5>) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (42.5, 51.5>) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (42.5, 51.5>) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (42.5, 51.5>) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (61.5, inf)) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (42.5, 51.5>) -> (agepill, (-inf, 41.0>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (-inf, 1.5>)))
((agepill, (agepill, (55.0, 61.5>) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (42.5, 51.5>) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (42.5, 51.5>) -> (agepill, (-inf, 41.0>)))
((agepill, (agepill, (55.0, 61.5>) -> (agepill, (-inf, 41.0>)))
