((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((txgrp, (txgrp, (1.5, 2.5>) -> (txgrp, (1.5, 2.5>)) AND (age, (age, (32.5, 45.5>) -> (age, (26.5, 28.5>)))
((txgrp, (txgrp, (1.5, 2.5>) -> (txgrp, (1.5, 2.5>)) AND (cd4, (cd4, (40.5, 57.25>) -> (cd4, (2.5, 5.75>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (3.5, 5.5>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (40.5, 57.25>) -> (cd4, (85.75, 362.25>)))
((cd4, (cd4, (5.75, 11.75>) -> (cd4, (78.25, 84.75>)))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (22.5, 31.5>)) AND (cd4, (cd4, (5.75, 11.75>) -> (cd4, (85.75, 362.25>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (68.0, 72.0>)))
((cd4, (cd4, (85.75, 362.25>) -> (cd4, (2.5, 5.75>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (68.0, 72.0>)))
((txgrp, (txgrp, (1.5, 2.5>) -> (txgrp, (1.5, 2.5>)) AND (age, (age, (31.0, 32.5>) -> (age, (26.5, 28.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (68.0, 72.0>)))
((priorzdv, (priorzdv, (5.5, 9.5>) -> (priorzdv, (68.0, 72.0>)))
((cd4, (cd4, (85.75, 362.25>) -> (cd4, (2.5, 5.75>)))
((cd4, (cd4, (2.5, 5.75>) -> (cd4, (78.25, 84.75>)))
((priorzdv, (priorzdv, (31.5, 68.0>) -> (priorzdv, (19.0, 22.5>)))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (68.0, 72.0>)))
((cd4, (cd4, (19.5, 40.0>) -> (cd4, (85.75, 362.25>)))
((priorzdv, (priorzdv, (9.5, 19.0>) -> (priorzdv, (68.0, 72.0>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((priorzdv, (priorzdv, (22.5, 31.5>) -> (priorzdv, (68.0, 72.0>)))
((txgrp, (txgrp, (-inf, 1.5>) -> (txgrp, (1.5, 2.5>)) AND (age, (age, (45.5, 53.0>) -> (age, (26.5, 28.5>)))
