rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 1, 1, 0, 13.9923, 63.7997, 0.0000, 0.0000, 3.7000, 35.9000, -32.2000
r2, 1, 1, 0, 17.9718, 63.7997, 0.0000, 0.0000, 5.3000, 35.9000, -30.6000
r3, 1, 1, 0, 22.4647, 63.7997, 0.0000, 0.0000, 6.1000, 35.9000, -29.8000
r4, 2, 1, 0, 25.1605, 58.1515, 0.0000, 0.0000, 6.4000, 35.9000, -29.5000
r5, 3, 3, 2, 21.3094, 63.7997, 0.0000, 0.0000, 5.4000, 35.9000, -30.5000
r6, 1, 1, 0, 36.2003, 63.7997, 0.0000, 0.0000, 7.8000, 35.9000, -28.1000
r7, 3, 1, 0, 28.8832, 42.7471, 3.8511, 0.0000, 7.0000, 35.9000, -28.9000
r8, 1, 1, 0, 7.7022, 17.7150, 0.0000, 0.4285, 31.0000, 35.9000, -4.9000
r9, 2, 2, 1, 42.6187, 13.9923, 0.0000, 0.0000, 35.9000, 3.7000, 32.2000
r10, 1, 1, 0, 46.7266, 13.9923, 0.0000, 0.0000, 35.9000, 3.7000, 32.2000
r11, 2, 2, 1, 22.9782, 13.9923, 0.0000, 0.0000, 29.0000, 3.7000, 25.3000
