rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 3, 3, 0, 43.6293, 2.8958, 0.0000, 0.0000, 364.0000, 347.0000, 17.0000
r2, 6, 6, 3, 3.7645, 41.6023, 0.0000, 0.0000, 329.0000, 364.0000, -35.0000
r3, 5, 5, 3, 7.1429, 44.1120, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r4, 4, 4, 2, 10.0386, 44.1120, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r5, 2, 2, 1, 12.9344, 44.4981, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r6, 3, 3, 0, 45.5598, 3.9575, 0.0000, 0.0000, 364.0000, 347.0000, 17.0000
r7, 4, 4, 2, 4.9228, 44.1120, 0.0000, 0.0000, 341.0000, 364.0000, -23.0000
r8, 5, 5, 2, 8.3012, 43.3398, 0.0000, 0.0000, 348.0000, 364.0000, -16.0000
r9, 5, 5, 2, 13.5135, 43.3398, 0.0000, 0.0000, 348.0000, 364.0000, -16.0000
r10, 4, 4, 1, 18.2432, 43.3398, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r11, 4, 4, 1, 20.0772, 43.3398, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r12, 8, 7, 5, 10.6178, 41.5058, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r13, 6, 5, 3, 19.6911, 41.5058, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r14, 5, 5, 3, 28.5714, 44.1120, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r15, 5, 4, 2, 23.6486, 41.5058, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r16, 5, 4, 2, 35.7143, 41.5058, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r17, 4, 4, 2, 40.5405, 44.1120, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r18, 4, 4, 2, 48.0695, 44.1120, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r19, 2, 2, 0, 49.7104, 3.0888, 0.0000, 0.0000, 364.0000, 335.0000, 29.0000
