((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.5454545, -1.0>)))
((moddysp, (moddysp, {Worst isn't moderate}) -> (moddysp, {Worst isn't moderate})) AND (stdagepill, (stdagepill, (-1.5454545, -1.0>) -> (stdagepill, (-1.909091, -1.5454545>)))
((moddysp, (moddysp, {Worst isn't moderate}) -> (moddysp, {Worst isn't moderate})) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.909091, -1.5454545>)))
((moddysp, (moddysp, {Worst isn't moderate}) -> (moddysp, {Worst isn't moderate})) AND (stdagepill, (stdagepill, (1.363636, inf)) -> (stdagepill, (-1.909091, -1.5454545>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.5454545, -1.0>)))
((stdagepill, (stdagepill, (-3.181818, -1.909091>) -> (stdagepill, (-1.909091, -1.5454545>)))
((dysp1, (dysp1, (1.5, inf)) -> (dysp1, (1.5, inf))) AND (stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.5454545, -1.0>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-1.5454545, -1.0>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.909091, -1.5454545>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.5454545, -1.0>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-1.909091, -1.5454545>)))
((smoke, (smoke, {Ever}) -> (smoke, {Never})) AND (agepill, (agepill, (43.5, 48.5>) -> (agepill, (62.5, 66.0>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.909091, -1.5454545>)))
((sex, (sex, {Male}) -> (sex, {Female})) AND (stdagepill, (stdagepill, (1.363636, inf)) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (1.363636, inf)) -> (stdagepill, (-3.181818, -1.909091>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (stdagepill, (stdagepill, (-1.909091, -1.5454545>) -> (stdagepill, (-1.5454545, -1.0>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-1.909091, -1.5454545>)))
((stdagepill, (stdagepill, (-1.5454545, -1.0>) -> (stdagepill, (-1.5454545, -1.0>)))
((stdagepill, (stdagepill, (-1.909091, -1.5454545>) -> (stdagepill, (-1.5454545, -1.0>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-1.5454545, -1.0>)))
((dysp1, (dysp1, (-inf, 1.5>) -> (dysp1, (1.5, inf))) AND (stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-1.5454545, -1.0>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.909091, -1.5454545>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.909091, -1.5454545>)))
((sex, (sex, {Female}) -> (sex, {Male})))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-1.909091, -1.5454545>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.909091, -1.5454545>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.909091, -1.5454545>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-3.181818, -1.909091>) -> (stdagepill, (-1.909091, -1.5454545>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-1.909091, -1.5454545>)))
((smoke, (smoke, {Never}) -> (smoke, {Never})) AND (agepill, (agepill, (49.5, 53.5>) -> (agepill, (62.5, 66.0>)))
((sex, (sex, {Female}) -> (sex, {Female})))
((stdagepill, (stdagepill, (-1.5454545, -1.0>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-1.0, -0.090909>) -> (stdagepill, (-1.909091, -1.5454545>)))
((stdagepill, (stdagepill, (1.363636, inf)) -> (stdagepill, (-3.181818, -1.909091>)))
((stdagepill, (stdagepill, (-0.090909, 1.363636>) -> (stdagepill, (-1.909091, -1.5454545>)))
