((RACE, (RACE, (0.5, inf)) -> (RACE, (-inf, 0.5>)) AND (IV, (IV, (-inf, 1.5>) -> (IV, (1.5, inf))) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.30833350000000004, 0.55>) -> (FRAC, (0.836111, inf))) AND (BECK, (BECK, (11.5, 12.0>) -> (BECK, (12.0, 23.5>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.30833350000000004, 0.55>) -> (FRAC, (0.836111, inf))) AND (BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)))
((RACE, (RACE, (0.5, inf)) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.1277775, 0.2916665>) -> (FRAC, (0.836111, inf))) AND (BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.1277775, 0.2916665>) -> (FRAC, (0.836111, inf))) AND (BECK, (BECK, (-inf, 6.15>) -> (BECK, (12.0, 23.5>)))
((RACE, (RACE, (0.5, inf)) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (-inf, 0.1277775>) -> (FRAC, (0.836111, inf))))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.55, 0.675>) -> (FRAC, (0.836111, inf))) AND (BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.675, 0.7277775>) -> (FRAC, (0.836111, inf))) AND (BECK, (BECK, (-inf, 6.15>) -> (BECK, (12.0, 23.5>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (LNDT, (LNDT, (-inf, 1.2424529999999998>) -> (LNDT, (1.2424529999999998, inf))))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (LNDT, (LNDT, (1.2424529999999998, inf)) -> (LNDT, (1.2424529999999998, inf))))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.30833350000000004, 0.55>) -> (FRAC, (0.836111, inf))) AND (LNDT, (LNDT, (1.2424529999999998, inf)) -> (LNDT, (-inf, 1.2424529999999998>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (LNDT, (LNDT, (-inf, 1.2424529999999998>) -> (LNDT, (1.2424529999999998, inf))))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.1277775, 0.2916665>) -> (FRAC, (0.836111, inf))) AND (BECK, (BECK, (6.15, 11.5>) -> (BECK, (12.0, 23.5>)))
((RACE, (RACE, (-inf, 0.5>) -> (RACE, (-inf, 0.5>)) AND (FRAC, (FRAC, (0.836111, inf)) -> (FRAC, (-inf, 0.1277775>)) AND (LNDT, (LNDT, (1.2424529999999998, inf)) -> (LNDT, (1.2424529999999998, inf))))
((RACE, (RACE, (0.5, inf)) -> (RACE, (0.5, inf))) AND (FRAC, (FRAC, (0.55, 0.675>) -> (FRAC, (0.836111, inf))) AND (BECK, (BECK, (12.0, 23.5>) -> (BECK, (12.0, 23.5>)))
