time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, 
4.0, 0.996139, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.991935, 1.000000, 0.988024, 1.000000, 0.982456, 1.000000, 0.990868, 1.000000, 1.000000, 0.937500, 
6.0, 0.992278, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 0.991935, 1.000000, 0.988024, 1.000000, 0.964912, 1.000000, 0.981735, 1.000000, 1.000000, 0.875000, 
7.0, 0.984556, 0.900000, 1.000000, 0.952381, 1.000000, 0.976190, 1.000000, 0.967742, 1.000000, 0.964072, 1.000000, 0.929825, 1.000000, 0.963470, 1.000000, 1.000000, 0.781250, 
8.0, 0.982625, 0.900000, 1.000000, 0.952381, 1.000000, 0.976190, 1.000000, 0.967742, 1.000000, 0.958084, 1.000000, 0.921053, 1.000000, 0.958904, 1.000000, 1.000000, 0.750000, 
9.0, 0.980695, 0.900000, 1.000000, 0.952381, 1.000000, 0.976190, 1.000000, 0.959677, 1.000000, 0.952096, 1.000000, 0.912281, 1.000000, 0.954338, 1.000000, 1.000000, 0.718750, 
10.0, 0.974903, 0.833333, 1.000000, 0.920635, 1.000000, 0.952381, 1.000000, 0.943548, 1.000000, 0.934132, 1.000000, 0.885965, 1.000000, 0.940639, 1.000000, 1.000000, 0.625000, 
11.0, 0.971042, 0.800000, 1.000000, 0.904762, 1.000000, 0.940476, 1.000000, 0.935484, 1.000000, 0.928144, 1.000000, 0.868421, 1.000000, 0.931507, 1.000000, 1.000000, 0.593750, 
12.0, 0.969112, 0.800000, 1.000000, 0.904762, 1.000000, 0.940476, 1.000000, 0.927419, 1.000000, 0.922156, 1.000000, 0.859649, 1.000000, 0.926941, 1.000000, 1.000000, 0.562500, 
14.0, 0.961390, 0.733333, 1.000000, 0.873016, 1.000000, 0.904762, 1.000000, 0.903226, 1.000000, 0.904192, 1.000000, 0.824561, 1.000000, 0.908676, 1.000000, 1.000000, 0.531250, 
15.0, 0.957529, 0.733333, 1.000000, 0.873016, 1.000000, 0.904762, 1.000000, 0.903226, 1.000000, 0.898204, 1.000000, 0.807018, 1.000000, 0.899543, 1.000000, 1.000000, 0.500000, 
18.0, 0.955598, 0.700000, 1.000000, 0.857143, 1.000000, 0.892857, 1.000000, 0.895161, 1.000000, 0.892216, 1.000000, 0.798246, 1.000000, 0.894977, 1.000000, 1.000000, 0.500000, 
19.0, 0.953668, 0.700000, 1.000000, 0.857143, 1.000000, 0.880952, 1.000000, 0.887097, 1.000000, 0.886228, 1.000000, 0.789474, 1.000000, 0.890411, 1.000000, 1.000000, 0.468750, 
20.0, 0.951737, 0.666667, 1.000000, 0.841270, 1.000000, 0.880952, 1.000000, 0.879032, 1.000000, 0.880240, 1.000000, 0.780702, 1.000000, 0.885845, 1.000000, 1.000000, 0.468750, 
21.0, 0.947876, 0.633333, 1.000000, 0.809524, 1.000000, 0.857143, 1.000000, 0.862903, 1.000000, 0.868263, 1.000000, 0.763158, 1.000000, 0.876712, 1.000000, 1.000000, 0.468750, 
22.0, 0.944015, 0.600000, 1.000000, 0.793651, 1.000000, 0.845238, 1.000000, 0.854839, 1.000000, 0.856287, 1.000000, 0.745614, 1.000000, 0.872146, 1.000000, 1.000000, 0.406250, 
23.0, 0.936293, 0.533333, 1.000000, 0.761905, 1.000000, 0.821429, 1.000000, 0.838710, 1.000000, 0.838323, 1.000000, 0.710526, 1.000000, 0.853881, 1.000000, 1.000000, 0.406250, 
24.0, 0.934363, 0.533333, 1.000000, 0.761905, 1.000000, 0.809524, 1.000000, 0.830645, 1.000000, 0.832335, 1.000000, 0.701754, 1.000000, 0.849315, 1.000000, 1.000000, 0.406250, 
25.0, 0.932432, 0.500000, 1.000000, 0.746032, 1.000000, 0.797619, 1.000000, 0.822581, 1.000000, 0.826347, 1.000000, 0.692982, 1.000000, 0.844749, 1.000000, 1.000000, 0.406250, 
26.0, 0.926641, 0.466667, 1.000000, 0.714286, 1.000000, 0.761905, 1.000000, 0.798387, 1.000000, 0.808383, 1.000000, 0.666667, 1.000000, 0.831050, 1.000000, 1.000000, 0.406250, 
28.0, 0.924710, 0.466667, 1.000000, 0.698413, 1.000000, 0.750000, 1.000000, 0.790323, 1.000000, 0.802395, 1.000000, 0.666667, 1.000000, 0.826484, 1.000000, 1.000000, 0.406250, 
