attribute,value
cd4,"(-inf, 0.5>"
cd4,"(0.5, 2.0>"
cd4,"(2.0, 2.25>"
cd4,"(2.25, 2.5>"
cd4,"(2.5, 8.5>"
cd4,"(8.5, 11.75>"
cd4,"(11.75, 18.5>"
cd4,"(18.5, 18.75>"
cd4,"(18.75, 19.25>"
cd4,"(19.25, 19.75>"
cd4,"(19.75, 23.25>"
cd4,"(23.25, 41.25>"
cd4,"(41.25, 57.25>"
cd4,"(57.25, 64.25>"
cd4,"(64.25, 64.75>"
cd4,"(64.75, 69.75>"
cd4,"(69.75, 78.25>"
cd4,"(78.25, 85.75>"
cd4,"(85.75, 370.0>"
cd4,"(370.0, inf)"
ivdrug,"(-inf, 2.0>"
ivdrug,"(2.0, 2.5>"
ivdrug,"(2.5, inf)"
raceth,"(-inf, 4.5>"
raceth,"(4.5, inf)"
priorzdv,"(-inf, 3.5>"
priorzdv,"(3.5, 4.5>"
priorzdv,"(4.5, 5.5>"
priorzdv,"(5.5, 7.5>"
priorzdv,"(7.5, 9.75>"
priorzdv,"(9.75, 11.5>"
priorzdv,"(11.5, 36.5>"
priorzdv,"(36.5, 40.5>"
priorzdv,"(40.5, 44.5>"
priorzdv,"(44.5, 71.5>"
priorzdv,"(71.5, 89.0>"
priorzdv,"(89.0, 98.0>"
priorzdv,"(98.0, 100.5>"
priorzdv,"(100.5, 113.0>"
priorzdv,"(113.0, 123.0>"
priorzdv,"(123.0, 130.5>"
priorzdv,"(130.5, inf)"
strat2,"(-inf, 0.5>"
strat2,"(0.5, inf)"
karnof,"(-inf, 85.0>"
karnof,"(85.0, 95.0>"
karnof,"(95.0, inf)"
age,"(-inf, 23.5>"
age,"(23.5, 25.5>"
age,"(25.5, 28.5>"
age,"(28.5, 30.5>"
age,"(30.5, 32.5>"
age,"(32.5, 40.5>"
age,"(40.5, 51.5>"
age,"(51.5, 56.5>"
age,"(56.5, 57.5>"
age,"(57.5, 59.0>"
age,"(59.0, 61.0>"
age,"(61.0, 63.5>"
age,"(63.5, 64.0>"
age,"(64.0, 66.5>"
age,"(66.5, inf)"
txgrp,"(-inf, 1.5>"
txgrp,"(1.5, 2.5>"
txgrp,"(2.5, inf)"
hemophil,"(-inf, 0.5>"
hemophil,"(0.5, inf)"
