((diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)) AND (age, (age, (69.5, 71.5>) -> (age, (85.5, inf))))
((bmi, (bmi, (31.644505000000002, 42.92046>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((bmi, (bmi, (19.341929999999998, 23.298195>) -> (bmi, (23.298195, 27.693260000000002>)) AND (sysbp, (sysbp, (84.5, 206.5>) -> (sysbp, (84.5, 206.5>)) AND (age, (age, (71.5, 73.5>) -> (age, (85.5, inf))))
((bmi, (bmi, (23.298195, 27.693260000000002>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((bmi, (bmi, (23.298195, 27.693260000000002>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((diasbp, (diasbp, (96.5, 136.5>) -> (diasbp, (59.5, 94.0>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((bmi, (bmi, (19.341929999999998, 23.298195>) -> (bmi, (29.550220000000003, 31.644505000000002>)) AND (age, (age, (74.5, 80.5>) -> (age, (-inf, 69.5>)))
((diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)) AND (age, (age, (80.5, 84.5>) -> (age, (85.5, inf))))
((hr, (hr, (-inf, 52.0>) -> (hr, (52.0, 62.0>)) AND (age, (age, (74.5, 80.5>) -> (age, (-inf, 69.5>)))
((bmi, (bmi, (19.341929999999998, 23.298195>) -> (bmi, (23.298195, 27.693260000000002>)) AND (sysbp, (sysbp, (84.5, 206.5>) -> (sysbp, (84.5, 206.5>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((bmi, (bmi, (23.298195, 27.693260000000002>) -> (bmi, (29.550220000000003, 31.644505000000002>)) AND (age, (age, (85.5, inf)) -> (age, (-inf, 69.5>)))
((bmi, (bmi, (19.341929999999998, 23.298195>) -> (bmi, (29.550220000000003, 31.644505000000002>)) AND (age, (age, (74.5, 80.5>) -> (age, (-inf, 69.5>)))
((bmi, (bmi, (29.550220000000003, 31.644505000000002>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((hr, (hr, (62.0, 111.0>) -> (hr, (52.0, 62.0>)) AND (age, (age, (80.5, 84.5>) -> (age, (-inf, 69.5>)))
((hr, (hr, (62.0, 111.0>) -> (hr, (52.0, 62.0>)) AND (age, (age, (-inf, 69.5>) -> (age, (-inf, 69.5>)))
((bmi, (bmi, (31.644505000000002, 42.92046>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((hr, (hr, (62.0, 111.0>) -> (hr, (52.0, 62.0>)) AND (age, (age, (85.5, inf)) -> (age, (-inf, 69.5>)))
((bmi, (bmi, (23.298195, 27.693260000000002>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (74.5, 80.5>) -> (age, (85.5, inf))))
((diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)) AND (age, (age, (74.5, 80.5>) -> (age, (85.5, inf))))
((diasbp, (diasbp, (96.5, 136.5>) -> (diasbp, (59.5, 94.0>)) AND (age, (age, (69.5, 71.5>) -> (age, (85.5, inf))))
((diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((bmi, (bmi, (23.298195, 27.693260000000002>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
((diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)) AND (age, (age, (71.5, 73.5>) -> (age, (85.5, inf))))
((bmi, (bmi, (27.693260000000002, 28.23666>) -> (bmi, (23.298195, 27.693260000000002>)) AND (age, (age, (80.5, 84.5>) -> (age, (85.5, inf))))
((diasbp, (diasbp, (59.5, 94.0>) -> (diasbp, (59.5, 94.0>)) AND (age, (age, (-inf, 69.5>) -> (age, (85.5, inf))))
