id,distance,n_actions
0,0.025107,2
1,0.066986,2
2,0.024392,3
3,0.044804,2
4,0.030015,2
5,0.043937,2
6,0.041432,2
7,0.007612,2
8,0.033885,2
9,0.047509,3
10,0.039542,2
11,0.045135,2
12,0.058518,2
13,0.057107,2
14,0.021064,2
15,0.061558,2
16,0.052278,2
17,0.011465,2
18,0.012019,2
19,0.036325,2
20,0.028045,2
21,0.036037,2
22,0.018964,2
23,0.011331,2
24,0.024573,2
25,0.007891,2
26,0.035893,2
27,0.039530,1
28,0.026042,2
29,0.030920,2
30,0.041756,2
31,0.044872,1
32,0.026576,2
33,0.028846,2
34,0.014400,2
35,0.059295,2
36,0.028980,2
37,0.036405,1
38,0.032806,2
39,0.050214,1
40,0.036058,2
41,0.061218,2
42,0.014957,1
43,0.023759,1
44,0.046033,2
45,0.036346,2
46,0.038462,2
47,0.028265,2
48,0.028637,3
49,0.029823,1
