rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 5, 5, 3, 3.0888, 43.4363, 0.0000, 0.0000, 245.0000, 364.0000, -119.0000
r2, 5, 5, 4, 6.0811, 45.2703, 0.0000, 0.0000, 347.0000, 364.0000, -17.0000
r3, 6, 6, 5, 5.8880, 45.2703, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r4, 4, 4, 3, 11.4865, 45.2703, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r5, 3, 3, 2, 12.8378, 45.2703, 0.0000, 0.0000, 348.0000, 364.0000, -16.0000
r6, 3, 3, 2, 15.4440, 45.2703, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r7, 3, 3, 2, 20.5598, 45.2703, 0.0000, 0.0000, 350.0000, 364.0000, -14.0000
r8, 4, 4, 1, 43.7259, 3.0888, 0.0000, 0.0000, 364.0000, 328.0000, 36.0000
r9, 4, 3, 0, 46.1390, 3.2819, 0.0000, 0.0000, 364.0000, 347.0000, 17.0000
r10, 5, 5, 4, 7.3359, 45.2703, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r11, 6, 5, 4, 11.5830, 44.0154, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r12, 7, 6, 4, 18.1467, 42.4710, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r13, 6, 5, 4, 25.5792, 44.0154, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r14, 5, 4, 3, 30.7915, 44.0154, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r15, 5, 4, 2, 16.8919, 41.0232, 0.0000, 0.0000, 354.0000, 364.0000, -10.0000
r16, 4, 3, 1, 35.4247, 42.4710, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r17, 3, 3, 2, 44.3050, 45.2703, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r18, 2, 2, 1, 42.2780, 45.2703, 0.0000, 0.0000, 355.0000, 364.0000, -9.0000
r19, 3, 3, 0, 49.8069, 3.6680, 0.0000, 0.0000, 364.0000, 327.0000, 37.0000
