attribute,value
dysp1,"(-inf, 1.5>"
dysp1,"(1.5, inf)"
sex,{Male}
sex,{Female}
agepill,"(-inf, 40.5>"
agepill,"(40.5, 41.0>"
agepill,"(41.0, 41.5>"
agepill,"(41.5, 42.5>"
agepill,"(42.5, 46.5>"
agepill,"(46.5, 51.5>"
agepill,"(51.5, 53.5>"
agepill,"(53.5, 55.5>"
agepill,"(55.5, 66.0>"
agepill,"(66.0, 66.5>"
agepill,"(66.5, inf)"
stdagepill,"(-inf, -3.0>"
stdagepill,"(-3.0, -2.2727269999999997>"
stdagepill,"(-2.2727269999999997, -1.363636>"
stdagepill,"(-1.363636, -1.1818179999999998>"
stdagepill,"(-1.1818179999999998, -0.45454550000000005>"
stdagepill,"(-0.45454550000000005, -0.090909>"
stdagepill,"(-0.090909, 1.363636>"
stdagepill,"(1.363636, 1.7272729999999998>"
stdagepill,"(1.7272729999999998, inf)"
moddysp,{Worst isn't moderate}
smoke,{Ever}
smoke,{Never}
basehist,{Normal}
basehist,{Esophagitis}
