rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 1, 1, 0, 15.2956, 62.7249, 0.0000, 0.0000, 3.7000, 35.9000, -32.2000
r2, 1, 1, 0, 3.9846, 4.2416, 0.0000, 0.0004, 12.6000, 27.6000, -15.0000
r3, 1, 1, 0, 23.7789, 62.7249, 0.0000, 0.0000, 5.4000, 35.9000, -30.5000
r4, 1, 1, 0, 28.2776, 62.5964, 0.0000, 0.0000, 6.1000, 35.9000, -29.8000
r5, 2, 2, 1, 25.8355, 63.1105, 0.0000, 0.0000, 5.4000, 35.9000, -30.5000
r6, 1, 1, 0, 36.8895, 63.1105, 0.0000, 0.0000, 6.9000, 35.9000, -29.0000
r7, 3, 1, 0, 3.8560, 5.0129, 0.0000, 0.3974, 29.5000, 20.2000, 9.3000
r8, 1, 1, 0, 7.7121, 4.2416, 0.0000, 0.0235, 29.8000, 27.6000, 2.2000
r9, 2, 2, 1, 41.6452, 15.2956, 0.0000, 0.0000, 35.9000, 3.7000, 32.2000
r10, 1, 1, 0, 46.1440, 15.2956, 0.0000, 0.0000, 35.9000, 3.7000, 32.2000
r11, 2, 2, 1, 29.6915, 14.6530, 0.0000, 0.0000, 32.7000, 3.5000, 29.2000
