time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, 
0.003, 0.967866, 0.932773, 0.983607, 0.870968, 1.000000, 0.929730, 0.983607, 0.940909, 0.983573, 0.940299, 0.983707, 0.940767, 0.983707, 1.000000, 1.000000, 1.000000, 1.000000, 0.981481, 0.932773, 0.980501, 0.932773, 0.982684, 0.938596, 
0.1, 0.966581, 0.932773, 0.983607, 0.870968, 1.000000, 0.929730, 0.983607, 0.936364, 0.983573, 0.935323, 0.983707, 0.937282, 0.983707, 1.000000, 1.000000, 1.000000, 1.000000, 0.981481, 0.932773, 0.980501, 0.932773, 0.982684, 0.938596, 
0.2, 0.962725, 0.924370, 0.981557, 0.870968, 1.000000, 0.924324, 0.981557, 0.931818, 0.981520, 0.930348, 0.981670, 0.930314, 0.981670, 1.000000, 1.000000, 1.000000, 1.000000, 0.978395, 0.924370, 0.977716, 0.924370, 0.978355, 0.929825, 
0.3, 0.958869, 0.924370, 0.977459, 0.838710, 1.000000, 0.918919, 0.977459, 0.927273, 0.977413, 0.925373, 0.977597, 0.926829, 0.977597, 1.000000, 1.000000, 1.000000, 1.000000, 0.975309, 0.924370, 0.974930, 0.924370, 0.974026, 0.929825, 
0.4, 0.949871, 0.873950, 0.975410, 0.838710, 1.000000, 0.886486, 0.975410, 0.900000, 0.975359, 0.900498, 0.975560, 0.905923, 0.975560, 1.000000, 1.000000, 1.000000, 1.000000, 0.972222, 0.873950, 0.972145, 0.873950, 0.974026, 0.877193, 
0.5, 0.938303, 0.857143, 0.969262, 0.806452, 1.000000, 0.864865, 0.969262, 0.881818, 0.969199, 0.875622, 0.967413, 0.888502, 0.967413, 1.000000, 0.974359, 0.983333, 1.000000, 0.962963, 0.857143, 0.963788, 0.857143, 0.969697, 0.859649, 
0.6, 0.931877, 0.840336, 0.965164, 0.806452, 1.000000, 0.854054, 0.965164, 0.872727, 0.965092, 0.865672, 0.963340, 0.878049, 0.963340, 1.000000, 0.974359, 0.983333, 1.000000, 0.956790, 0.840336, 0.958217, 0.840336, 0.965368, 0.842105, 
0.7, 0.920308, 0.806723, 0.961066, 0.806452, 1.000000, 0.827027, 0.961066, 0.850000, 0.960986, 0.840796, 0.959267, 0.853659, 0.959267, 0.966667, 0.974359, 0.966667, 1.000000, 0.956790, 0.806723, 0.958217, 0.806723, 0.965368, 0.807018, 
0.8, 0.908740, 0.806723, 0.948770, 0.774194, 1.000000, 0.816216, 0.948770, 0.836364, 0.948665, 0.830846, 0.947047, 0.843206, 0.947047, 0.933333, 0.974359, 0.950000, 1.000000, 0.944444, 0.806723, 0.947075, 0.806723, 0.956710, 0.807018, 
0.9, 0.899743, 0.806723, 0.942623, 0.741935, 1.000000, 0.805405, 0.942623, 0.822727, 0.942505, 0.815920, 0.940937, 0.829268, 0.940937, 0.933333, 0.974359, 0.950000, 1.000000, 0.938272, 0.806723, 0.938719, 0.806723, 0.952381, 0.807018, 
1.0, 0.884319, 0.764706, 0.930328, 0.741935, 1.000000, 0.778378, 0.930328, 0.800000, 0.932238, 0.786070, 0.928717, 0.808362, 0.928717, 0.933333, 0.948718, 0.950000, 1.000000, 0.929012, 0.764706, 0.927577, 0.764706, 0.943723, 0.763158, 
1.1, 0.867609, 0.731092, 0.920082, 0.677419, 1.000000, 0.745946, 0.920082, 0.772727, 0.921971, 0.756219, 0.918534, 0.780488, 0.918534, 0.933333, 0.948718, 0.950000, 1.000000, 0.916667, 0.731092, 0.913649, 0.731092, 0.935065, 0.728070, 
1.2, 0.859897, 0.722689, 0.911885, 0.677419, 1.000000, 0.740541, 0.911885, 0.763636, 0.913758, 0.746269, 0.910387, 0.773519, 0.910387, 0.900000, 0.948718, 0.916667, 1.000000, 0.913580, 0.722689, 0.910864, 0.722689, 0.926407, 0.719298, 
1.3, 0.853470, 0.714286, 0.905738, 0.677419, 1.000000, 0.735135, 0.905738, 0.754545, 0.907598, 0.736318, 0.904277, 0.766551, 0.904277, 0.833333, 0.948718, 0.883333, 1.000000, 0.913580, 0.714286, 0.910864, 0.714286, 0.917749, 0.710526, 
1.4, 0.847044, 0.714286, 0.897541, 0.677419, 1.000000, 0.729730, 0.897541, 0.750000, 0.899384, 0.736318, 0.896130, 0.763066, 0.896130, 0.833333, 0.948718, 0.883333, 1.000000, 0.904321, 0.714286, 0.899721, 0.714286, 0.909091, 0.710526, 
1.5, 0.835476, 0.663866, 0.891393, 0.677419, 1.000000, 0.697297, 0.891393, 0.722727, 0.893224, 0.711443, 0.890020, 0.742160, 0.890020, 0.833333, 0.897436, 0.883333, 1.000000, 0.895062, 0.663866, 0.891365, 0.663866, 0.909091, 0.657895, 
1.6, 0.829049, 0.655462, 0.885246, 0.677419, 1.000000, 0.686486, 0.885246, 0.713636, 0.887064, 0.706468, 0.883910, 0.735192, 0.883910, 0.833333, 0.846154, 0.883333, 1.000000, 0.885802, 0.655462, 0.883008, 0.655462, 0.900433, 0.649123, 
1.7, 0.817481, 0.630252, 0.877049, 0.645161, 0.969697, 0.664865, 0.877049, 0.695455, 0.878850, 0.686567, 0.875764, 0.717770, 0.875764, 0.833333, 0.846154, 0.866667, 0.969697, 0.879630, 0.630252, 0.874652, 0.630252, 0.887446, 0.631579, 
1.8, 0.814910, 0.621849, 0.875000, 0.645161, 0.969697, 0.659459, 0.875000, 0.690909, 0.876797, 0.681592, 0.873727, 0.714286, 0.873727, 0.833333, 0.846154, 0.866667, 0.969697, 0.879630, 0.621849, 0.874652, 0.621849, 0.887446, 0.622807, 
1.9, 0.808473, 0.605042, 0.870892, 0.645161, 0.969697, 0.643243, 0.870892, 0.677273, 0.872680, 0.666667, 0.869644, 0.703833, 0.869644, 0.833333, 0.820513, 0.866667, 0.969697, 0.876532, 0.605042, 0.871857, 0.605042, 0.883096, 0.605263, 
2.0, 0.800749, 0.605042, 0.862676, 0.645161, 0.969697, 0.637838, 0.862676, 0.668182, 0.864447, 0.656716, 0.861479, 0.696864, 0.861479, 0.833333, 0.794872, 0.866667, 0.969697, 0.864143, 0.605042, 0.860680, 0.605042, 0.883096, 0.605263, 
