((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (1.7272729999999998, 1.909091>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-2.2727269999999997, -1.363636>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
((mildysp, (mildysp, {Worst isn't mild}) -> (mildysp, {Worst isn't mild})) AND (stdagepill, (stdagepill, (-1.363636, 1.7272729999999998>) -> (stdagepill, (-2.2727269999999997, -1.363636>)))
