((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (14.05, 18.950000000000003>) -> (Recipientage, (14.05, 18.950000000000003>)))
((PLTrecovery, (PLTrecovery, (-inf, 21.5>) -> (PLTrecovery, (-inf, 21.5>)) AND (CD34kgx10d6, (CD34kgx10d6, (1.54, 6.5>) -> (CD34kgx10d6, (11.885, 41.515>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((PLTrecovery, (PLTrecovery, (21.5, 26.0>) -> (PLTrecovery, (-inf, 21.5>)) AND (CD34kgx10d6, (CD34kgx10d6, (1.54, 6.5>) -> (CD34kgx10d6, (11.885, 41.515>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((CD34kgx10d6, (CD34kgx10d6, (11.395, 11.885>) -> (CD34kgx10d6, (11.885, 41.515>)) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (1.0, 14.05>)))
((Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((PLTrecovery, (PLTrecovery, (26.0, 500142.5>) -> (PLTrecovery, (-inf, 21.5>)) AND (CD34kgx10d6, (CD34kgx10d6, (1.54, 6.5>) -> (CD34kgx10d6, (11.885, 41.515>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((Recipientage, (Recipientage, (14.05, 18.950000000000003>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((PLTrecovery, (PLTrecovery, (-inf, 21.5>) -> (PLTrecovery, (-inf, 21.5>)) AND (CD34kgx10d6, (CD34kgx10d6, (8.68, 11.395>) -> (CD34kgx10d6, (11.885, 41.515>)))
((PLTrecovery, (PLTrecovery, (21.5, 26.0>) -> (PLTrecovery, (-inf, 21.5>)) AND (CD34kgx10d6, (CD34kgx10d6, (6.5, 8.68>) -> (CD34kgx10d6, (11.885, 41.515>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 14.05>) -> (Recipientage, (14.05, 18.950000000000003>)))
((Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (-inf, 31.9>)) AND (CD34kgx10d6, (CD34kgx10d6, (11.1815, 11.684999999999999>) -> (CD34kgx10d6, (14.0, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))))
((PLTrecovery, (PLTrecovery, (26.5, inf)) -> (PLTrecovery, (26.5, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (-inf, 7.15>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (36.5, inf))) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))))
((CD34kgx10d6, (CD34kgx10d6, (14.0, inf)) -> (CD34kgx10d6, (14.0, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (36.5, inf)) -> (Rbodymass, (-inf, 31.9>)) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))) AND (Donorage, (Donorage, (46.828767, inf)) -> (Donorage, (-inf, 46.828767>)))
((PLTrecovery, (PLTrecovery, (26.5, inf)) -> (PLTrecovery, (26.5, inf))) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (36.5, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (14.0, inf)) -> (CD34kgx10d6, (-inf, 7.15>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})))
((CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (14.0, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (36.5, inf)) -> (Rbodymass, (-inf, 31.9>)) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))) AND (Donorage, (Donorage, (-inf, 46.828767>) -> (Donorage, (-inf, 46.828767>)))
((CD34kgx10d6, (CD34kgx10d6, (14.0, inf)) -> (CD34kgx10d6, (14.0, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (-inf, 31.9>)) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))) AND (Donorage, (Donorage, (-inf, 46.828767>) -> (Donorage, (-inf, 46.828767>)))
((CD34kgx10d6, (CD34kgx10d6, (14.0, inf)) -> (CD34kgx10d6, (14.0, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (-inf, 31.9>)) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))) AND (Donorage, (Donorage, (-inf, 46.828767>) -> (Donorage, (-inf, 46.828767>)))
((CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (14.0, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (36.5, inf)) -> (Rbodymass, (-inf, 31.9>)) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))) AND (Donorage, (Donorage, (-inf, 46.828767>) -> (Donorage, (-inf, 46.828767>)))
((CD34kgx10d6, (CD34kgx10d6, (-inf, 7.15>) -> (CD34kgx10d6, (14.0, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (-inf, 31.9>)) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))) AND (Donorage, (Donorage, (-inf, 46.828767>) -> (Donorage, (-inf, 46.828767>)))
((PLTrecovery, (PLTrecovery, (-inf, 26.5>) -> (PLTrecovery, (26.5, inf))) AND (Rbodymass, (Rbodymass, (36.5, inf)) -> (Rbodymass, (36.5, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))))
((PLTrecovery, (PLTrecovery, (-inf, 26.5>) -> (PLTrecovery, (26.5, inf))) AND (CD34kgx10d6, (CD34kgx10d6, (14.0, inf)) -> (CD34kgx10d6, (-inf, 7.15>)) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (36.5, inf))) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))))
((PLTrecovery, (PLTrecovery, (26.5, inf)) -> (PLTrecovery, (26.5, inf))) AND (Rbodymass, (Rbodymass, (31.9, 36.45>) -> (Rbodymass, (36.5, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (ANCrecovery, (ANCrecovery, (11.5, inf)) -> (ANCrecovery, (11.5, inf))))
