attribute,value
PLTrecovery,"(-inf, 26.5>"
PLTrecovery,"(26.5, inf)"
Recipientage,"(-inf, 12.0>"
Recipientage,"(12.0, 17.85>"
Recipientage,"(17.85, inf)"
CD34kgx10d6,"(-inf, 7.15>"
CD34kgx10d6,"(7.15, 7.984999999999999>"
CD34kgx10d6,"(7.984999999999999, 11.1815>"
CD34kgx10d6,"(11.1815, 11.684999999999999>"
CD34kgx10d6,"(11.684999999999999, 11.855>"
CD34kgx10d6,"(11.855, 14.0>"
CD34kgx10d6,"(14.0, inf)"
ANCrecovery,"(-inf, 11.5>"
ANCrecovery,"(11.5, inf)"
Donorage,"(-inf, 46.828767>"
Donorage,"(46.828767, inf)"
extcGvHD,{1}
Rbodymass,"(-inf, 31.9>"
Rbodymass,"(31.9, 36.45>"
Rbodymass,"(36.45, 36.5>"
Rbodymass,"(36.5, inf)"
