((OpSet1, (OpSet1, (-inf, 42.00135>) -> (OpSet1, (42.00135, inf))) AND (SensorMeasure7, (SensorMeasure7, (139.17000000000002, 554.645>) -> (SensorMeasure7, (-inf, 139.17000000000002>)))
((SensorMeasure21, (SensorMeasure21, (14.847999999999999, 23.49055>) -> (SensorMeasure21, (6.3848, 6.46695>)))
((SensorMeasure14, (SensorMeasure14, (8135.735000000001, inf)) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure21, (SensorMeasure21, (14.847999999999999, 23.49055>) -> (SensorMeasure21, (6.3848, 6.46695>)))
((SensorMeasure3, (SensorMeasure3, (1494.4899999999998, 1597.1799999999998>) -> (SensorMeasure3, (1254.7150000000001, 1358.18>)) AND (OpSet1, (OpSet1, (-inf, 42.00135>) -> (OpSet1, (42.00135, inf))) AND (SensorMeasure7, (SensorMeasure7, (139.17000000000002, 554.645>) -> (SensorMeasure7, (-inf, 139.17000000000002>)))
((SensorMeasure13, (SensorMeasure13, (2387.9849999999997, 2388.0150000000003>) -> (SensorMeasure13, (2388.0550000000003, 2388.085>)) AND (OpSet1, (OpSet1, (42.00135, inf)) -> (OpSet1, (-inf, 42.00135>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (8135.735000000001, inf)) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((OpSet1, (OpSet1, (-inf, 42.00135>) -> (OpSet1, (42.00135, inf))) AND (SensorMeasure7, (SensorMeasure7, (139.17000000000002, 554.645>) -> (SensorMeasure7, (-inf, 139.17000000000002>)))
((SensorMeasure3, (SensorMeasure3, (1358.18, 1477.9899999999998>) -> (SensorMeasure3, (1254.7150000000001, 1358.18>)) AND (OpSet1, (OpSet1, (42.00135, inf)) -> (OpSet1, (42.00135, inf))) AND (SensorMeasure7, (SensorMeasure7, (-inf, 139.17000000000002>) -> (SensorMeasure7, (-inf, 139.17000000000002>)) AND (OpSet2, (OpSet2, (-inf, 0.84135>) -> (OpSet2, (-inf, 0.84135>)))
((SensorMeasure13, (SensorMeasure13, (2388.0150000000003, 2388.0550000000003>) -> (SensorMeasure13, (2388.0550000000003, 2388.085>)) AND (OpSet1, (OpSet1, (-inf, 42.00135>) -> (OpSet1, (-inf, 42.00135>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure13, (SensorMeasure13, (2388.085, inf)) -> (SensorMeasure13, (2388.0550000000003, 2388.085>)) AND (OpSet1, (OpSet1, (-inf, 42.00135>) -> (OpSet1, (-inf, 42.00135>)))
((SensorMeasure21, (SensorMeasure21, (14.847999999999999, 23.49055>) -> (SensorMeasure21, (6.3848, 6.46695>)))
((SensorMeasure21, (SensorMeasure21, (14.847999999999999, 23.49055>) -> (SensorMeasure21, (6.3848, 6.46695>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure3, (SensorMeasure3, (1254.7150000000001, 1358.18>) -> (SensorMeasure3, (1254.7150000000001, 1358.18>)) AND (OpSet1, (OpSet1, (-inf, 42.00135>) -> (OpSet1, (42.00135, inf))) AND (SensorMeasure7, (SensorMeasure7, (139.17000000000002, 554.645>) -> (SensorMeasure7, (-inf, 139.17000000000002>)) AND (OpSet2, (OpSet2, (-inf, 0.84135>) -> (OpSet2, (-inf, 0.84135>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure3, (SensorMeasure3, (1254.7150000000001, 1358.18>) -> (SensorMeasure3, (1254.7150000000001, 1358.18>)) AND (OpSet1, (OpSet1, (-inf, 42.00135>) -> (OpSet1, (42.00135, inf))) AND (SensorMeasure7, (SensorMeasure7, (139.17000000000002, 554.645>) -> (SensorMeasure7, (-inf, 139.17000000000002>)) AND (OpSet2, (OpSet2, (-inf, 0.84135>) -> (OpSet2, (-inf, 0.84135>)))
((SensorMeasure14, (SensorMeasure14, (-inf, 8135.735000000001>) -> (SensorMeasure14, (8135.735000000001, inf))))
((SensorMeasure3, (SensorMeasure3, (-inf, 1254.7150000000001>) -> (SensorMeasure3, (1254.7150000000001, 1358.18>)) AND (OpSet1, (OpSet1, (-inf, 42.00135>) -> (OpSet1, (42.00135, inf))) AND (SensorMeasure7, (SensorMeasure7, (139.17000000000002, 554.645>) -> (SensorMeasure7, (-inf, 139.17000000000002>)) AND (OpSet2, (OpSet2, (-inf, 0.84135>) -> (OpSet2, (-inf, 0.84135>)))
