attribute,value
BECK,"(-inf, 8.2>"
BECK,"(8.2, 8.5>"
BECK,"(8.5, 11.5>"
BECK,"(11.5, 12.0>"
BECK,"(12.0, 33.5>"
BECK,"(33.5, 35.375>"
BECK,"(35.375, 36.375>"
BECK,"(36.375, 37.5>"
BECK,"(37.5, 43.5>"
BECK,"(43.5, 44.0>"
BECK,"(44.0, 48.5>"
BECK,"(48.5, inf)"
FRAC,"(-inf, 0.1277775>"
FRAC,"(0.1277775, 0.27222250000000003>"
FRAC,"(0.27222250000000003, 0.675>"
FRAC,"(0.675, 0.7277775>"
FRAC,"(0.7277775, 0.736111>"
FRAC,"(0.736111, 0.7416665>"
FRAC,"(0.7416665, 0.7555555>"
FRAC,"(0.7555555, 0.7694445>"
FRAC,"(0.7694445, 0.836111>"
FRAC,"(0.836111, inf)"
AGE,"(-inf, 21.5>"
AGE,"(21.5, 22.5>"
AGE,"(22.5, 23.0>"
AGE,"(23.0, 43.5>"
AGE,"(43.5, 44.5>"
AGE,"(44.5, 45.0>"
AGE,"(45.0, 45.5>"
AGE,"(45.5, inf)"
IV,"(-inf, 1.5>"
IV,"(1.5, inf)"
IV3,"(-inf, 0.5>"
IV3,"(0.5, inf)"
RACE,"(-inf, 0.5>"
RACE,"(0.5, inf)"
ND2,"(-inf, 0.007411500000000015>"
ND2,"(0.007411500000000015, 0.361679>"
ND2,"(0.361679, inf)"
