id,p
0,0.008082
1,0.000002
2,0.026258
3,0.000434
4,0.002494
5,0.042103
6,0.000004
7,0.000000
8,0.002494
9,0.000022
10,0.004557
11,0.013918
12,0.000000
13,0.013918
14,0.004557
15,0.008082
16,0.000004
17,0.008082
18,0.000215
19,0.023281
20,0.000215
21,0.013918
22,0.005377
23,0.000215
24,0.000000
25,0.000246
26,0.000000
27,0.000000
28,0.000215
29,0.013918
30,0.099564
31,0.023281
32,0.000004
33,0.091656
34,0.013918
35,0.000683
36,0.000001
37,0.000000
38,0.013918
39,0.013918
40,0.023281
41,0.059734
42,0.002494
43,0.023281
44,0.000004
45,0.013918
46,0.023281
47,0.000002
48,0.065651
49,0.023281
50,0.023281
51,0.013918
52,0.013918
53,0.000000
54,0.008082
55,0.002494
56,0.023281
57,0.000004
58,0.000007
59,0.000166
60,0.000000
61,0.037832
62,0.000103
63,0.000000
64,0.013918
65,0.000434
66,0.008082
67,0.013918
68,0.013918
69,0.023281
70,0.000001
71,0.002994
72,0.037832
73,0.000004
74,0.008082
75,0.002494
76,0.000434
77,0.002494
78,0.023281
79,0.026258
80,0.013918
81,0.023281
82,0.023281
83,0.005377
84,0.000103
85,0.004557
86,0.009386
87,0.000078
88,0.037832
89,0.037832
90,0.023281
91,0.000434
92,0.000000
93,0.000048
94,0.004557
95,0.000000
96,0.002494
97,0.023281
98,0.015922
99,0.000000
