((CD34kgx10d6, (CD34kgx10d6, (0.8049999999999999, 7.275>) -> (CD34kgx10d6, (11.739999999999998, 23.814999999999998>)) AND (Rbodymass, (Rbodymass, (31.9, 49.8>) -> (Rbodymass, (-inf, 31.9>)) AND (CD3dCD34, (CD3dCD34, (0.7013515, 5.403679500000001>) -> (CD3dCD34, (0.7013515, 5.403679500000001>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 1.0>) -> (Recipientage, (16.3, inf))))
((Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))))
((CD34kgx10d6, (CD34kgx10d6, (7.275, 11.739999999999998>) -> (CD34kgx10d6, (11.739999999999998, 23.814999999999998>)) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (-inf, 31.9>)) AND (CD3dCD34, (CD3dCD34, (0.7013515, 5.403679500000001>) -> (CD3dCD34, (0.7013515, 5.403679500000001>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (16.3, inf)) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (12.55, 16.3>) -> (Recipientage, (16.3, inf))))
((Recipientage, (Recipientage, (16.3, inf)) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (1.0, 11.55>) -> (Recipientage, (16.3, inf))))
((CD34kgx10d6, (CD34kgx10d6, (11.739999999999998, 23.814999999999998>) -> (CD34kgx10d6, (11.739999999999998, 23.814999999999998>)) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (-inf, 31.9>)) AND (CD3dCD34, (CD3dCD34, (0.7013515, 5.403679500000001>) -> (CD3dCD34, (0.7013515, 5.403679500000001>)))
((extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (12.55, 16.3>) -> (Recipientage, (16.3, inf))))
((CD34kgx10d6, (CD34kgx10d6, (0.8049999999999999, 7.275>) -> (CD34kgx10d6, (11.739999999999998, 23.814999999999998>)) AND (Rbodymass, (Rbodymass, (49.8, inf)) -> (Rbodymass, (-inf, 31.9>)))
((CD34kgx10d6, (CD34kgx10d6, (29.865, inf)) -> (CD34kgx10d6, (11.739999999999998, 23.814999999999998>)) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (-inf, 31.9>)) AND (CD3dCD34, (CD3dCD34, (5.403679500000001, inf)) -> (CD3dCD34, (0.7013515, 5.403679500000001>)))
((CD34kgx10d6, (CD34kgx10d6, (11.739999999999998, 23.814999999999998>) -> (CD34kgx10d6, (11.739999999999998, 23.814999999999998>)) AND (Rbodymass, (Rbodymass, (-inf, 31.9>) -> (Rbodymass, (-inf, 31.9>)) AND (CD3dCD34, (CD3dCD34, (0.7013515, 5.403679500000001>) -> (CD3dCD34, (0.7013515, 5.403679500000001>)))
((Rbodymass, (Rbodymass, (36.5, 55.1>) -> (Rbodymass, (55.1, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (14.05, 20.15>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (-inf, 10.6>) -> (Rbodymass, (55.1, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (36.5, 55.1>) -> (Rbodymass, (55.1, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (55.1, inf)) -> (Rbodymass, (55.1, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (14.05, 20.15>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (36.5, 55.1>) -> (Rbodymass, (55.1, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (36.5, 55.1>) -> (Rbodymass, (55.1, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((CD34kgx10d6, (CD34kgx10d6, (1.2650000000000001, 6.5600000000000005>) -> (CD34kgx10d6, (14.0, 46.315>)) AND (PLTrecovery, (PLTrecovery, (500123.5, inf)) -> (PLTrecovery, (13.5, 26.5>)))
((Rbodymass, (Rbodymass, (10.6, 31.9>) -> (Rbodymass, (55.1, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (10.6, 31.9>) -> (Rbodymass, (55.1, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (10.6, 31.9>) -> (Rbodymass, (55.1, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (10.6, 31.9>) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (55.1, inf)) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (14.05, 20.15>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (10.6, 31.9>) -> (Rbodymass, (55.1, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (36.5, 55.1>) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((CD34kgx10d6, (CD34kgx10d6, (10.495000000000001, 11.684999999999999>) -> (CD34kgx10d6, (14.0, 46.315>)) AND (PLTrecovery, (PLTrecovery, (500123.5, inf)) -> (PLTrecovery, (13.5, 26.5>)))
((Rbodymass, (Rbodymass, (55.1, inf)) -> (Rbodymass, (55.1, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (14.05, 20.15>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (10.6, 31.9>) -> (Rbodymass, (55.1, inf))) AND (extcGvHD, (extcGvHD, {1}) -> (extcGvHD, {1})) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
((Rbodymass, (Rbodymass, (36.5, 55.1>) -> (Rbodymass, (55.1, inf))) AND (Recipientage, (Recipientage, (-inf, 14.05>) -> (Recipientage, (14.05, 20.15>)))
