id,distance,n_actions
0,0.000000,0
1,0.001039,1
2,0.001039,1
3,0.010909,1
4,0.004156,1
5,0.005195,1
6,0.001039,1
7,0.010909,1
8,0.008831,1
9,0.004156,1
10,0.008312,1
11,0.002078,1
12,0.006753,1
13,0.006234,1
14,0.005714,1
15,0.006234,1
16,0.009870,1
17,0.009870,1
18,0.006234,1
19,0.007792,1
20,0.002078,1
21,0.000000,0
22,0.001558,1
23,0.000000,0
24,0.008312,1
25,0.009870,1
26,0.006234,1
27,0.007792,1
28,0.009870,1
29,0.001558,1
30,0.006753,1
31,0.008312,1
32,0.006234,1
33,0.003636,1
34,0.001558,1
35,0.007792,1
36,0.007792,1
37,0.001039,1
38,0.000519,1
39,0.002078,1
40,0.003636,1
41,0.007792,1
42,0.008831,1
