attribute,value
cd4,"(-inf, 1.0>"
cd4,"(1.0, 1.75>"
cd4,"(1.75, 2.25>"
cd4,"(2.25, 2.5>"
cd4,"(2.5, 5.75>"
cd4,"(5.75, 11.75>"
cd4,"(11.75, 19.5>"
cd4,"(19.5, 40.0>"
cd4,"(40.0, 40.5>"
cd4,"(40.5, 57.25>"
cd4,"(57.25, 61.25>"
cd4,"(61.25, 64.25>"
cd4,"(64.25, 65.0>"
cd4,"(65.0, 66.0>"
cd4,"(66.0, 66.5>"
cd4,"(66.5, 68.25>"
cd4,"(68.25, 75.25>"
cd4,"(75.25, 78.25>"
cd4,"(78.25, 84.75>"
cd4,"(84.75, 85.75>"
cd4,"(85.75, 362.25>"
cd4,"(362.25, 370.0>"
cd4,"(370.0, inf)"
ivdrug,"(-inf, 2.0>"
ivdrug,"(2.0, 2.5>"
ivdrug,"(2.5, inf)"
priorzdv,"(-inf, 3.5>"
priorzdv,"(3.5, 5.5>"
priorzdv,"(5.5, 9.5>"
priorzdv,"(9.5, 19.0>"
priorzdv,"(19.0, 22.5>"
priorzdv,"(22.5, 31.5>"
priorzdv,"(31.5, 68.0>"
priorzdv,"(68.0, 72.0>"
priorzdv,"(72.0, 86.0>"
priorzdv,"(86.0, 94.0>"
priorzdv,"(94.0, 96.5>"
priorzdv,"(96.5, 97.0>"
priorzdv,"(97.0, 104.0>"
priorzdv,"(104.0, 107.5>"
priorzdv,"(107.5, 114.5>"
priorzdv,"(114.5, 123.0>"
priorzdv,"(123.0, inf)"
karnof,"(-inf, 85.0>"
karnof,"(85.0, 95.0>"
karnof,"(95.0, inf)"
age,"(-inf, 15.5>"
age,"(15.5, 25.5>"
age,"(25.5, 26.5>"
age,"(26.5, 28.5>"
age,"(28.5, 29.5>"
age,"(29.5, 30.5>"
age,"(30.5, 31.0>"
age,"(31.0, 32.5>"
age,"(32.5, 45.5>"
age,"(45.5, 53.0>"
age,"(53.0, 55.0>"
age,"(55.0, 56.5>"
age,"(56.5, 57.5>"
age,"(57.5, 58.0>"
age,"(58.0, 59.5>"
age,"(59.5, 63.0>"
age,"(63.0, 64.0>"
age,"(64.0, 66.5>"
age,"(66.5, inf)"
hemophil,"(-inf, 0.5>"
hemophil,"(0.5, inf)"
txgrp,"(-inf, 1.5>"
txgrp,"(1.5, 2.5>"
txgrp,"(2.5, 3.0>"
txgrp,"(3.0, inf)"
strat2,"(-inf, 0.5>"
strat2,"(0.5, inf)"
