id,p
0,0.000000
1,
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,
7,0.000000
8,
9,0.000000
10,0.000000
11,
12,
13,0.000000
14,
15,0.000000
16,0.000000
17,0.000001
18,
19,0.000000
20,0.000000
21,
22,
23,
24,
25,
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,
34,0.000000
35,
36,0.000000
37,0.000000
38,
39,0.000000
40,
41,0.000000
42,
43,0.000000
44,0.000000
45,
46,0.000000
47,
48,
49,0.000000
50,
51,
52,
53,
54,0.000000
55,0.000000
56,0.000000
57,
58,
59,0.000000
60,0.000000
61,
62,0.000000
63,0.000000
64,0.000000
65,
66,0.000000
67,
68,
69,
70,0.000000
71,0.000000
72,0.000000
73,0.000000
74,0.000000
75,0.000000
76,
77,
78,0.000000
79,0.000000
80,0.000000
81,0.000000
82,
83,0.000000
84,0.000000
85,0.000000
86,
87,0.000000
88,
89,0.000000
90,
91,
92,0.000000
93,
94,0.000000
95,0.000000
96,
97,
98,0.000000
99,
100,0.000000
101,0.000000
102,
103,0.000000
104,
105,0.000000
106,
107,
108,
109,
110,
111,0.000000
112,0.000000
113,0.000000
114,0.000000
