((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (23.25, 41.25>) -> (cd4, (-inf, 0.5>)))
((age, (age, (40.5, 51.5>) -> (age, (25.5, 28.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (95.0, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (30.5, 32.5>) -> (age, (25.5, 28.5>)) AND (karnof, (karnof, (95.0, inf)) -> (karnof, (95.0, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (8.5, 11.75>) -> (cd4, (-inf, 0.5>)))
((age, (age, (23.5, 25.5>) -> (age, (25.5, 28.5>)) AND (karnof, (karnof, (95.0, inf)) -> (karnof, (95.0, inf))))
((cd4, (cd4, (-inf, 0.5>) -> (cd4, (-inf, 0.5>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (2.5, 8.5>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (-inf, 0.5>)))
((cd4, (cd4, (78.25, 85.75>) -> (cd4, (2.5, 8.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 85.0>)))
((cd4, (cd4, (85.75, 370.0>) -> (cd4, (64.75, 69.75>)))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((age, (age, (40.5, 51.5>) -> (age, (25.5, 28.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (95.0, inf))))
((cd4, (cd4, (2.5, 8.5>) -> (cd4, (69.75, 78.25>)))
((cd4, (cd4, (11.75, 18.5>) -> (cd4, (-inf, 0.5>)))
((age, (age, (40.5, 51.5>) -> (age, (25.5, 28.5>)) AND (karnof, (karnof, (95.0, inf)) -> (karnof, (95.0, inf))))
((hemophil, (hemophil, (-inf, 0.5>) -> (hemophil, (0.5, inf))))
((cd4, (cd4, (41.25, 57.25>) -> (cd4, (64.75, 69.75>)))
