((cd4, (cd4, (85.75, 291.25>) -> (cd4, (52.5, 57.25>)))
((cd4, (cd4, (85.75, 291.25>) -> (cd4, (52.5, 57.25>)))
((strat2, (strat2, (0.5, inf)) -> (strat2, (-inf, 0.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)))
((cd4, (cd4, (2.25, 11.25>) -> (cd4, (85.75, 291.25>)) AND (age, (age, (32.5, 40.5>) -> (age, (28.5, 30.5>)))
((cd4, (cd4, (19.25, 23.25>) -> (cd4, (85.75, 291.25>)) AND (age, (age, (40.5, 54.5>) -> (age, (28.5, 30.5>)))
((cd4, (cd4, (2.25, 11.25>) -> (cd4, (85.75, 291.25>)) AND (age, (age, (30.5, 31.5>) -> (age, (28.5, 30.5>)))
((cd4, (cd4, (85.75, 291.25>) -> (cd4, (52.5, 57.25>)))
((strat2, (strat2, (0.5, inf)) -> (strat2, (-inf, 0.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)))
((cd4, (cd4, (-inf, 0.5>) -> (cd4, (85.75, 291.25>)) AND (age, (age, (32.5, 40.5>) -> (age, (28.5, 30.5>)))
((cd4, (cd4, (71.25, 78.25>) -> (cd4, (85.75, 291.25>)) AND (age, (age, (32.5, 40.5>) -> (age, (28.5, 30.5>)))
((strat2, (strat2, (0.5, inf)) -> (strat2, (-inf, 0.5>)) AND (karnof, (karnof, (75.0, 85.0>) -> (karnof, (-inf, 75.0>)))
((cd4, (cd4, (85.75, 291.25>) -> (cd4, (52.5, 57.25>)))
((cd4, (cd4, (23.25, 52.5>) -> (cd4, (85.75, 291.25>)) AND (age, (age, (32.5, 40.5>) -> (age, (28.5, 30.5>)))
((cd4, (cd4, (23.25, 52.5>) -> (cd4, (85.75, 291.25>)) AND (age, (age, (32.5, 40.5>) -> (age, (28.5, 30.5>)))
((cd4, (cd4, (19.25, 23.25>) -> (cd4, (85.75, 291.25>)) AND (age, (age, (32.5, 40.5>) -> (age, (28.5, 30.5>)))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)))
((strat2, (strat2, (0.5, inf)) -> (strat2, (-inf, 0.5>)) AND (karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)))
((karnof, (karnof, (85.0, 95.0>) -> (karnof, (-inf, 75.0>)))
((cd4, (cd4, (23.25, 52.5>) -> (cd4, (85.75, 291.25>)) AND (age, (age, (40.5, 54.5>) -> (age, (28.5, 30.5>)))
((cd4, (cd4, (85.75, 291.25>) -> (cd4, (52.5, 57.25>)))
((cd4, (cd4, (19.25, 23.25>) -> (cd4, (85.75, 291.25>)) AND (age, (age, (31.5, 32.5>) -> (age, (28.5, 30.5>)))
((cd4, (cd4, (23.25, 52.5>) -> (cd4, (85.75, 291.25>)) AND (age, (age, (40.5, 54.5>) -> (age, (28.5, 30.5>)))
