((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Male}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Male}) -> (sex, {Male})))
((sex, (sex, {Male}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Male}) -> (sex, {Male})))
((sex, (sex, {Male}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Male}) -> (sex, {Male})))
((sex, (sex, {Male}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Male}) -> (sex, {Male})))
((agepill, (agepill, (43.5, 49.5>) -> (agepill, (40.0, 43.5>)))
((sex, (sex, {Male}) -> (sex, {Male})))
((agepill, (agepill, (56.5, 67.5>) -> (agepill, (40.0, 43.5>)))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((sex, (sex, {Female}) -> (sex, {Male})))
((agepill, (agepill, (56.5, 67.5>) -> (agepill, (40.0, 43.5>)))
((stdagepill, (stdagepill, (0.6363639999999999, 1.7272729999999998>) -> (stdagepill, (-inf, -1.7272729999999998>)))
((stdagepill, (stdagepill, (0.6363639999999999, 1.7272729999999998>) -> (stdagepill, (-inf, -1.7272729999999998>)))
((stdagepill, (stdagepill, (0.6363639999999999, 1.7272729999999998>) -> (stdagepill, (0.6363639999999999, 1.7272729999999998>)) AND (smoke, (smoke, {Ever}) -> (smoke, {Ever})))
((stdagepill, (stdagepill, (-0.6363639999999999, 0.6363639999999999>) -> (stdagepill, (-inf, -1.7272729999999998>)))
((smoke, (smoke, {Never}) -> (smoke, {Ever})))
((stdagepill, (stdagepill, (0.6363639999999999, 1.7272729999999998>) -> (stdagepill, (-inf, -1.7272729999999998>)))
((stdagepill, (stdagepill, (1.909091, inf)) -> (stdagepill, (-inf, -1.7272729999999998>)))
((stdagepill, (stdagepill, (-1.7272729999999998, -0.6363639999999999>) -> (stdagepill, (-inf, -1.7272729999999998>)))
((stdagepill, (stdagepill, (0.6363639999999999, 1.7272729999999998>) -> (stdagepill, (-inf, -1.7272729999999998>)))
((sex, (sex, {Male}) -> (sex, {Female})) AND (agepill, (agepill, (43.5, 49.5>) -> (agepill, (40.0, 43.5>)))
((stdagepill, (stdagepill, (0.6363639999999999, 1.7272729999999998>) -> (stdagepill, (-inf, -1.7272729999999998>)))
((stdagepill, (stdagepill, (0.6363639999999999, 1.7272729999999998>) -> (stdagepill, (-inf, -1.7272729999999998>)))
((stdagepill, (stdagepill, (0.6363639999999999, 1.7272729999999998>) -> (stdagepill, (-inf, -1.7272729999999998>)))
