rule, nb_conditions, nb_actions, nb_actions_ANY, percent_examples_covered_left_rule, percent_examples_covered_right_rule, percent_examples_covered_left_and_right_rule, pValue_logRank, median_survival_time_left_rule, median_survival_time_right_rule, diff_median_survival_time
r1, 2, 2, 0, 3.3333, 5.1111, 0.0000, 0.0038, 45.0000, 67.0000, -22.0000
r2, 3, 3, 0, 4.1111, 13.1111, 0.0000, 0.0000, 44.0000, 72.0000, -28.0000
r3, 3, 3, 0, 10.2222, 13.1111, 0.0000, 0.0000, 47.0000, 72.0000, -25.0000
r4, 3, 3, 0, 17.1111, 7.8889, 0.0000, 0.0000, 54.0000, 74.0000, -20.0000
r5, 3, 3, 0, 22.1111, 13.2222, 0.0000, 0.0000, 54.0000, 71.0000, -17.0000
r6, 3, 3, 0, 25.7778, 28.3333, 0.0000, 0.0000, 56.0000, 65.0000, -9.0000
r7, 3, 3, 0, 29.5556, 20.0000, 0.0000, 0.0002, 57.0000, 65.0000, -8.0000
r8, 2, 2, 0, 26.3333, 3.3333, 0.0000, 0.0003, 58.0000, 77.0000, -19.0000
r9, 3, 3, 0, 26.2222, 14.6667, 0.0000, 0.0001, 57.0000, 68.0000, -11.0000
r10, 3, 3, 0, 40.1111, 3.6667, 0.0000, 0.0010, 60.0000, 77.0000, -17.0000
r11, 2, 2, 0, 3.3333, 20.3333, 2.7778, 0.0089, 41.0000, 65.0000, -24.0000
r12, 2, 2, 0, 30.0000, 3.3333, 2.6667, 0.0063, 65.0000, 41.0000, 24.0000
r13, 2, 2, 0, 39.6667, 3.3333, 2.5556, 0.0279, 65.0000, 41.0000, 24.0000
r14, 1, 1, 0, 45.0000, 3.3333, 0.0000, 0.0217, 65.0000, 41.0000, 24.0000
r15, 3, 3, 0, 27.4444, 22.2222, 0.0000, 0.0008, 57.0000, 65.0000, -8.0000
r16, 2, 2, 0, 46.5556, 19.5556, 0.0000, 0.0108, 60.0000, 65.0000, -5.0000
