time, entire-set, r1_l, r1_r, r2_l, r2_r, r3_l, r3_r, r4_l, r4_r, r5_l, r5_r, r6_l, r6_r, r7_l, r7_r, r8_l, r8_r, r9_l, r9_r, r10_l, r10_r, r11_l, r11_r, r12_l, r12_r, r13_l, r13_r, r14_l, r14_r, r15_l, r15_r, r16_l, r16_r, 
1.0, 0.994444, 1.000000, 1.000000, 1.000000, 0.991525, 1.000000, 0.991525, 1.000000, 1.000000, 0.989950, 0.991597, 0.991379, 0.996078, 0.992481, 0.994444, 0.995781, 1.000000, 0.991525, 0.992424, 0.991690, 1.000000, 1.000000, 0.994536, 0.996296, 1.000000, 0.994398, 1.000000, 0.995062, 1.000000, 0.991903, 0.995000, 0.992840, 0.994318, 
2.0, 0.985556, 0.933333, 1.000000, 1.000000, 0.991525, 0.989130, 0.991525, 0.987013, 1.000000, 0.979899, 0.991597, 0.982759, 0.992157, 0.984962, 0.994444, 0.987342, 1.000000, 0.983051, 0.992424, 0.986150, 1.000000, 0.966667, 0.978142, 0.985185, 0.966667, 0.991597, 0.966667, 0.987654, 0.966667, 0.983806, 0.995000, 0.985680, 0.988636, 
3.0, 0.982222, 0.933333, 1.000000, 0.972973, 0.991525, 0.978261, 0.991525, 0.980519, 1.000000, 0.969849, 0.991597, 0.974138, 0.992157, 0.977444, 0.994444, 0.978903, 1.000000, 0.974576, 0.992424, 0.983380, 1.000000, 0.933333, 0.972678, 0.981481, 0.933333, 0.991597, 0.933333, 0.987654, 0.933333, 0.975709, 0.995000, 0.983294, 0.988636, 
4.0, 0.973333, 0.900000, 1.000000, 0.972973, 0.991525, 0.945652, 0.991525, 0.954545, 1.000000, 0.949749, 0.991597, 0.956897, 0.988235, 0.962406, 0.994444, 0.962025, 1.000000, 0.957627, 0.992424, 0.972299, 1.000000, 0.900000, 0.972678, 0.974074, 0.900000, 0.983193, 0.900000, 0.980247, 0.900000, 0.959514, 0.990000, 0.973747, 0.988636, 
5.0, 0.964444, 0.900000, 0.978261, 0.972973, 0.966102, 0.945652, 0.966102, 0.954545, 0.971831, 0.949749, 0.966387, 0.956897, 0.968627, 0.962406, 0.972222, 0.962025, 0.933333, 0.957627, 0.962121, 0.972299, 0.939394, 0.866667, 0.961749, 0.951852, 0.866667, 0.963585, 0.866667, 0.965432, 0.866667, 0.959514, 0.965000, 0.973747, 0.971591, 
6.0, 0.962222, 0.900000, 0.978261, 0.972973, 0.966102, 0.945652, 0.966102, 0.954545, 0.971831, 0.949749, 0.966387, 0.956897, 0.968627, 0.962406, 0.972222, 0.962025, 0.933333, 0.957627, 0.962121, 0.969529, 0.939394, 0.866667, 0.961749, 0.951852, 0.866667, 0.963585, 0.866667, 0.965432, 0.866667, 0.959514, 0.965000, 0.971360, 0.971591, 
7.0, 0.956667, 0.900000, 0.978261, 0.972973, 0.966102, 0.913043, 0.966102, 0.935065, 0.971831, 0.929648, 0.966387, 0.939655, 0.968627, 0.947368, 0.972222, 0.945148, 0.933333, 0.936441, 0.962121, 0.955679, 0.939394, 0.866667, 0.961749, 0.951852, 0.866667, 0.963585, 0.866667, 0.965432, 0.866667, 0.943320, 0.965000, 0.959427, 0.971591, 
8.0, 0.950000, 0.900000, 0.978261, 0.972973, 0.966102, 0.902174, 0.966102, 0.928571, 0.971831, 0.924623, 0.966387, 0.931034, 0.960784, 0.939850, 0.966667, 0.936709, 0.933333, 0.923729, 0.962121, 0.947368, 0.939394, 0.866667, 0.956284, 0.948148, 0.866667, 0.957983, 0.866667, 0.958025, 0.866667, 0.939271, 0.960000, 0.952267, 0.965909, 
9.0, 0.938889, 0.900000, 0.978261, 0.972973, 0.949153, 0.891304, 0.949153, 0.915584, 0.957746, 0.914573, 0.949580, 0.922414, 0.945098, 0.932331, 0.950000, 0.928270, 0.933333, 0.915254, 0.946970, 0.941828, 0.939394, 0.833333, 0.945355, 0.933333, 0.833333, 0.938375, 0.833333, 0.943210, 0.833333, 0.931174, 0.940000, 0.947494, 0.948864, 
10.0, 0.932222, 0.866667, 0.978261, 0.945946, 0.949153, 0.869565, 0.949153, 0.902597, 0.957746, 0.899497, 0.949580, 0.909483, 0.937255, 0.921053, 0.944444, 0.915612, 0.933333, 0.906780, 0.946970, 0.930748, 0.939394, 0.833333, 0.939891, 0.929630, 0.833333, 0.932773, 0.833333, 0.938272, 0.833333, 0.919028, 0.935000, 0.937947, 0.948864, 
