attribute,value
dysp1,"(-inf, 1.5>"
dysp1,"(1.5, inf)"
sex,{Male}
sex,{Female}
stdagepill,"(-inf, -3.181818>"
stdagepill,"(-3.181818, -2.909091>"
stdagepill,"(-2.909091, -2.2727269999999997>"
stdagepill,"(-2.2727269999999997, -1.909091>"
stdagepill,"(-1.909091, -1.363636>"
stdagepill,"(-1.363636, -1.1818179999999998>"
stdagepill,"(-1.1818179999999998, -0.090909>"
stdagepill,"(-0.090909, 1.7272729999999998>"
stdagepill,"(1.7272729999999998, 1.909091>"
stdagepill,"(1.909091, inf)"
agepill,"(-inf, 41.5>"
agepill,"(41.5, 42.5>"
agepill,"(42.5, 43.5>"
agepill,"(43.5, 49.5>"
agepill,"(49.5, 60.0>"
agepill,"(60.0, 65.5>"
agepill,"(65.5, 66.5>"
agepill,"(66.5, inf)"
drink,{Never}
moddysp,{Worst isn't moderate}
smoke,{Ever}
smoke,{Never}
mildysp,{Worst isn't mild}
basehist,{Normal}
basehist,{Esophagitis}
