attribute,value
mspike,"(-inf, 0.7000000000000001>"
mspike,"(0.7000000000000001, 1.05>"
mspike,"(1.05, 1.95>"
mspike,"(1.95, 2.5>"
mspike,"(2.5, inf)"
hgb,"(-inf, 9.25>"
hgb,"(9.25, 11.95>"
hgb,"(11.95, 13.25>"
hgb,"(13.25, 14.149999999999999>"
hgb,"(14.149999999999999, 14.7>"
hgb,"(14.7, 16.35>"
hgb,"(16.35, inf)"
dxyr,"(-inf, 61.0>"
dxyr,"(61.0, 62.5>"
dxyr,"(62.5, 70.5>"
dxyr,"(70.5, inf)"
age,"(-inf, 34.5>"
age,"(34.5, 54.5>"
age,"(54.5, 60.5>"
age,"(60.5, 62.5>"
age,"(62.5, 65.5>"
age,"(65.5, inf)"
