id,distance,n_actions
0,0.051130,3
1,0.052171,2
2,0.026334,2
3,0.024473,3
4,0.004158,1
5,0.034605,3
6,0.039959,3
7,0.040000,2
8,0.031846,2
9,0.030146,1
10,0.017672,1
11,0.035592,2
12,0.022928,2
13,0.011546,3
14,0.018711,1
15,0.064218,2
16,0.027915,2
17,0.038855,3
18,0.068783,2
19,0.056377,3
20,0.010492,2
21,0.016329,2
22,0.016632,1
23,0.019485,2
24,0.052949,2
25,0.024948,1
26,0.038486,3
27,0.050936,1
28,0.039750,2
29,0.038802,2
30,0.050394,2
31,0.035994,2
32,0.030470,2
33,0.007277,1
34,0.017758,2
35,0.018320,3
36,0.039953,3
37,0.014022,1
38,0.024710,2
39,0.024683,2
40,0.040400,3
41,0.055906,2
42,0.042620,1
43,0.042651,3
44,0.046230,3
45,0.061671,2
46,0.011602,3
47,0.036451,3
48,0.062528,2
49,0.049156,2
